"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0003002","regionalization","55/1157","331/18723",1.60361672515017e-11,8.65792669908574e-08,7.67541605185032e-08,"WT1/OTX2/SMAD6/NR2F2/HOXB3/DLX2/HES6/PITX2/HELT/BASP1/PCSK5/C1QA/LRP5L/LHX3/WNT3A/HOXB5/CHSY1/ROBO1/DMRTA2/FGFR2/GSC/SIX3/EN1/NRP2/TBX20/DMRT3/CYP26C1/TBX1/GSX2/LHX2/LRP5/NOTO/PAX2/PCSK6/FOXA2/IRX2/ARC/PLXNA2/OSR1/SOSTDC1/LMX1B/CYP26B1/SKI/SOX1/SIX1/FOXB1/HOXB8/PRKACA/HHIP/HEY2/CITED2/HOXA2/BARX1/ATP6AP2/GPR161",55
"BP","GO:0048705","skeletal system morphogenesis","41/1157","220/18723",1.77182756640349e-10,4.35042635034998e-07,3.85673538277875e-07,"LTBP3/HOXB3/DLX2/CCN2/COL27A1/WNT9B/LRP5L/HOXB5/CHSY1/DYNC2I1/FGFR2/ALX1/GSC/FBN2/FGF18/MSX2/OSR2/MYCN/TBX1/NDST1/BMP7/LRP5/FGFR1/IFT80/NAB2/FGF6/TBX15/OSR1/CYP26B1/SKI/MMP14/SIX1/FMN1/WWOX/HOXB8/SOX11/HHIP/CITED2/HOXA2/DHRS3/INSIG2",41
"BP","GO:0007389","pattern specification process","63/1157","436/18723",2.41735118559917e-10,4.35042635034998e-07,3.85673538277875e-07,"WT1/OTX2/SMAD6/NR2F2/HOXB3/DLX2/HES6/PITX2/HELT/IRX4/BASP1/PCSK5/C1QA/SIM2/LRP5L/LHX3/WNT3A/HOXB5/CHSY1/ROBO1/DMRTA2/FGFR2/GSC/SIX3/MEIS1/EN1/NRP2/TBX20/DMRT3/CYP26C1/TBX1/CRAMP1/BMP7/GSX2/LHX2/LRP5/NOTO/RFX3/PAX2/PCSK6/FOXA2/IRX2/ARC/PLXNA2/OSR1/ZIC1/SOSTDC1/ZIC3/LMX1B/CYP26B1/SKI/SOX1/SIX1/FOXB1/HOXB8/PRKACA/HHIP/HEY2/CITED2/HOXA2/BARX1/ATP6AP2/GPR161",63
"BP","GO:0030900","forebrain development","54/1157","379/18723",7.74600449889232e-09,1.04551695723799e-05,9.26870590959563e-06,"PROX1/KIRREL3/OTX2/NR2F2/POU3F3/DLX2/PITX2/NDNF/RAPGEF2/PROP1/NFIB/LHX5/CCDC85C/ADCYAP1/GATA2/LHX3/WNT3A/CDH2/FLNA/ROBO1/PLXNA4/POU3F1/DMRTA2/FGFR2/GSC/SIX3/NRP2/GSK3B/MDGA1/NDST1/TRAPPC9/GSX2/LHX2/ATP2B4/BNIP3/SOX2/TACC2/ETS1/HESX1/SKI/DAB1/PCDH9/POU4F1/SOX1/FOXB1/SALL1/RTN4RL1/EFNA2/SEMA6B/SRC/FAT4/NSUN5/LHX6/SLC8A1",54
"BP","GO:0007517","muscle organ development","48/1157","327/18723",2.03888249212567e-08,2.2015853149973e-05,1.95174709298851e-05,"PROX1/WT1/NR2F2/CACNA1H/CTF1/JPH2/FXR1/BASP1/FOXK1/RYR2/SOX8/GPC1/LARGE1/MYOM2/EMD/WNT3A/HDAC4/ADGRB1/TAFAZZIN/CAPN3/DMRTA2/FGFR2/TEAD4/GSC/TBX20/KLF5/ZFHX3/TBX1/FRG1/RYR1/PLEC/HIVEP3/LMOD3/SRPK3/CYP26B1/PAX3/SKI/PAX7/BCL9/POU4F1/SIX1/MEF2A/RBFOX1/MYH14/SOX11/HEY2/CITED2/HDAC9",48
"BP","GO:0060562","epithelial tube morphogenesis","46/1157","325/18723",1.21368864494142e-07,0.000109211749900645,9.68182854131339e-05,"PROX1/WT1/NFATC4/TRIM71/RYR2/COL4A1/SPINT1/SOX8/WNT9B/LRP5L/WNT3A/KIF26B/CSMD1/FGFR2/CTSH/TBX20/RET/TSC2/LAMA1/MYCN/BMP7/PLXND1/LHX2/LRP5/NOTO/PAX2/IRX2/LMO4/RGMA/OSR1/SOSTDC1/ZIC3/HESX1/SKI/CSF1/MMP14/SIX1/FMN1/SALL1/PRKACA/SOX11/CXCR2/SRC/HHIP/EDNRA/CITED2",46
"BP","GO:0045165","cell fate commitment","39/1157","258/18723",1.96638186769876e-07,0.000138022925996972,0.000122359938879175,"BARHL2/PROX1/WT1/TENM4/NR2F2/DLX2/JAG1/KLF4/SOX8/WNT9B/GATA2/LHX3/WNT3A/DMRTA2/FGFR2/GSC/TBX20/DMRT3/TBX1/EBF2/GSX2/PAX2/FOXA2/LMO4/SOX2/IRF4/TBX15/TCF7L2/SPDEF/SOSTDC1/CYP26B1/POU4F1/SOX1/SIX1/FZD7/TLX3/HEY2/HOXA2/GAS1",39
"BP","GO:0014031","mesenchymal cell development","20/1157","86/18723",2.04516282270008e-07,0.000138022925996972,0.000122359938879175,"JAG1/PITX2/SOX8/CDH2/ALX1/NRP2/TBX20/RET/CYP26C1/TBX1/BMP7/KITLG/SEMA6B/SOX11/KBTBD8/EDNRA/FAM172A/SEMA6A/HEY2/CITED2",20
"BP","GO:0007422","peripheral nervous system development","19/1157","80/18723",2.88677074445493e-07,0.000151285796715539,0.000134117725049581,"ASIC2/UGT8/SOX8/GPC1/DICER1/ADGRB1/ADGRB2/PLXNA4/POU3F1/RUNX3/NTF3/PLEC/NAB2/SKI/POU4F1/RUNX1/CITED2/ARHGEF10/NDRG1",19
"BP","GO:0048706","embryonic skeletal system development","24/1157","121/18723",3.16900583253153e-07,0.000151285796715539,0.000134117725049581,"HOXB3/DLX2/PCSK5/WNT9B/HOXB5/SULF1/DYNC2I1/KIAA1217/FGFR2/ALX1/GSC/OSR2/MYCN/TBX1/NDST1/SULF2/BMP7/TBX15/OSR1/MMP14/SIX1/HOXB8/SOX11/HOXA2",24
