"hgnc_symbol","ensembl_peptide_id"
"ACR","ENSP00000516837"
"ACR","ENSP00000516838"
"ACTG1","ENSP00000516869"
"ACTG1","ENSP00000516870"
"ACTG1","ENSP00000516871"
"ACTG1","ENSP00000516872"
"ACTG1","ENSP00000516873"
"ACTG1","ENSP00000516874"
"ACTG1","ENSP00000516875"
"ACTG1","ENSP00000516876"
"ACTG1","ENSP00000516877"
"ACTG1","ENSP00000516878"
"ACTG1","ENSP00000516879"
"ACTG1","ENSP00000516880"
"ACTG1","ENSP00000516881"
"ACTG1","ENSP00000516882"
"ACTG1","ENSP00000516883"
"ACTG1","ENSP00000516884"
"ACTG1","ENSP00000516885"
"ACTG1","ENSP00000516886"
"ACTG1","ENSP00000516887"
"BAHCC1","ENSP00000516888"
"BAHCC1","ENSP00000516889"
"ARHGEF19","ENSP00000516855"
"ARHGEF19","ENSP00000516856"
"ARHGEF19","ENSP00000516857"
"CPLANE2","ENSP00000516858"
"CPLANE2","ENSP00000516859"
"BRSK2","ENSP00000516897"
"BRSK2","ENSP00000516898"
"BRSK2","ENSP00000516900"
"BRSK2","ENSP00000516899"
"BRSK2","ENSP00000516901"
"BRSK2","ENSP00000516902"
"BRSK2","ENSP00000516903"
"BRSK2","ENSP00000516904"
"BRSK2","ENSP00000516905"
"BRSK2","ENSP00000516906"
"BRSK2","ENSP00000516908"
"BRSK2","ENSP00000516907"
"DUSP8","ENSP00000516909"
"DUSP8","ENSP00000516910"
"BORCS5","ENSP00000486120"
"BORCS5","ENSP00000485829"
"BORCS5","ENSP00000486584"
"DUSP16","ENSP00000487512"
"DUSP16","ENSP00000487034"
"DUSP16","ENSP00000485919"
"DUSP16","ENSP00000487493"
"CLSTN3","ENSP00000500349"
"CLSTN3","ENSP00000500510"
"CLSTN3","ENSP00000500913"
"CLSTN3","ENSP00000500879"
"CLSTN3","ENSP00000500680"
"CLSTN3","ENSP00000500105"
"CLSTN3","ENSP00000500213"
"CLSTN3","ENSP00000500657"
"ADAMTS13","ENSP00000486201"
"ADAMTS13","ENSP00000487185"
"ADAMTS13","ENSP00000486060"
"ADAMTS13","ENSP00000485845"
"ADAMTS13","ENSP00000486734"
"ADAMTS13","ENSP00000485989"
"ADAMTS13","ENSP00000486371"
"ADAMTS13","ENSP00000487509"
"CXADR","ENSP00000284878"
"CXADR","ENSP00000383030"
"CXADR","ENSP00000348620"
"CXADR","ENSP00000383029"
"CXADR","ENSP00000383033"
"CACFD1","ENSP00000486812"
"CACFD1","ENSP00000485922"
"CACFD1","ENSP00000486098"
"CACFD1","ENSP00000486696"
"CACFD1","ENSP00000486907"
"ABO","ENSP00000494079"
"ABO","ENSP00000496236"
"ABO","ENSP00000518221"
"CYYR1","ENSP00000299340"
"CYYR1","ENSP00000498505"
"CYYR1","ENSP00000382918"
"CHAF1B","ENSP00000315700"
