"hgnc_symbol","ensembl_peptide_id"
"NBPF1","ENSP00000518833"
"NBPF1","ENSP00000518168"
"FRG1","ENSP00000489664"
"FRG1","ENSP00000490541"
"FRG1","ENSP00000489960"
"FRG1","ENSP00000490915"
"FRG1","ENSP00000489984"
"DUX4L8","ENSP00000518266"
"PRR20D","ENSP00000392407"
"TPTE","ENSP00000482040"
"TPTE","ENSP00000484064"
"TPTE","ENSP00000484403"
"TPTE","ENSP00000482488"
"TPTE","ENSP00000483087"
"ZNF595","ENSP00000477392"
"ZNF595","ENSP00000476367"
"ZNF595","ENSP00000476408"
"ZNF595","ENSP00000434858"
"ZNF718","ENSP00000480556"
"ZNF718","ENSP00000494096"
"ZNF718","ENSP00000476435"
"CENPC","ENSP00000273853"
"CENPC","ENSP00000421234"
"CENPC","ENSP00000426078"
"CENPC","ENSP00000425255"
"SPIN4","ENSP00000364018"
"MUC2","ENSP00000486476"
"MUC2","ENSP00000478743"
"MUC2","ENSP00000481861"
"MMEL1","ENSP00000461938"
"MMEL1","ENSP00000367668"
"MMEL1","ENSP00000422492"
"MMEL1","ENSP00000425477"
"LRRC4C","ENSP00000278198"
"LRRC4C","ENSP00000436976"
"LRRC4C","ENSP00000437132"
"LRRC4C","ENSP00000434761"
"LRRC4C","ENSP00000431363"
"LRRC4C","ENSP00000480903"
"CWH43","ENSP00000226432"
"CWH43","ENSP00000425157"
"CWH43","ENSP00000422802"
"ZNF716","ENSP00000394248"
"KIRREL3","ENSP00000435466"
"KIRREL3","ENSP00000434081"
"KIRREL3","ENSP00000435094"
"EPM2A","ENSP00000491330"
"EPM2A","ENSP00000414900"
"EPM2A","ENSP00000491590"
"EPM2A","ENSP00000492701"
"EPM2A","ENSP00000356489"
"EPM2A","ENSP00000492823"
"EPM2A","ENSP00000480268"
"EPM2A","ENSP00000405913"
"EPM2A","ENSP00000492876"
"EPM2A","ENSP00000491180"
"EPM2A","ENSP00000491251"
"EPM2A","ENSP00000492179"
"EPM2A","ENSP00000491191"
"EPM2A","ENSP00000491338"
"EPM2A","ENSP00000491353"
"EPM2A","ENSP00000491224"
"USP17L11","ENSP00000400880"
"USP17L20","ENSP00000427264"
"POTEA","ENSP00000492265"
"POTEA","ENSP00000492193"
"MMEL1","ENSP00000487339"
"MMEL1","ENSP00000484606"
"MMEL1","ENSP00000482173"
"MMEL1","ENSP00000486668"
"PPIAL4F","ENSP00000358224"
"ZXDA","ENSP00000351530"
"MUC2","ENSP00000502432"
"MUC2","ENSP00000501871"
"OR4C46","ENSP00000329056"
"PSMD14","ENSP00000386541"
"PSMD14","ENSP00000399311"
"FRG1","ENSP00000518805"
"FRG1","ENSP00000490846"
"FRG1","ENSP00000489690"
"FRG1","ENSP00000490222"
"FRG1","ENSP00000489702"
"FRG1","ENSP00000489820"
"FRG1","ENSP00000483471"
"FRG1","ENSP00000485342"
"FRG1","ENSP00000486096"
"FRG1","ENSP00000486212"
"FRG1","ENSP00000487528"
"ROCK1","ENSP00000489185"
"ROCK1","ENSP00000382697"
"ROCK1","ENSP00000462004"
"CNTNAP2","ENSP00000485955"
"CNTNAP2","ENSP00000354778"
"CNTNAP2","ENSP00000487516"
"CNTNAP2","ENSP00000486292"
"PLS3","ENSP00000420458"
"PLS3","ENSP00000348163"
"PLS3","ENSP00000289290"
"PLS3","ENSP00000419051"
"PLS3","ENSP00000445339"
"PLS3","ENSP00000475900"
"PLS3","ENSP00000417728"
"PLS3","ENSP00000487343"
"CNTNAP2","ENSP00000488754"
"CNTNAP2","ENSP00000487946"
"CNTNAP2","ENSP00000481057"
"SULF2","ENSP00000513575"
"SULF2","ENSP00000353007"
"SULF2","ENSP00000508753"
"SULF2","ENSP00000418290"
"SULF2","ENSP00000417894"
"SULF2","ENSP00000418442"
"SULF2","ENSP00000410026"
"OR11H12","ENSP00000449002"
"MUC2","ENSP00000518846"
"SPRY3","ENSP00000511806"
"SPRY3","ENSP00000502489"
"SPRY3","ENSP00000302978"
"IRX4","ENSP00000424235"
"IRX4","ENSP00000231357"
"IRX4","ENSP00000423161"
"IRX4","ENSP00000422462"
