"hgnc_symbol","ensembl_peptide_id"
"ACTG1","ENSP00000516869"
"ACTG1","ENSP00000516870"
"ACTG1","ENSP00000516871"
"ACTG1","ENSP00000516872"
"ACTG1","ENSP00000516873"
"ACTG1","ENSP00000516874"
"ACTG1","ENSP00000516875"
"ACTG1","ENSP00000516876"
"ACTG1","ENSP00000516877"
"ACTG1","ENSP00000516878"
"ACTG1","ENSP00000516879"
"ACTG1","ENSP00000516880"
"ACTG1","ENSP00000516881"
"ACTG1","ENSP00000516882"
"ACTG1","ENSP00000516883"
"ACTG1","ENSP00000516884"
"ACTG1","ENSP00000516885"
"ACTG1","ENSP00000516886"
"ACTG1","ENSP00000516887"
"HMX1","ENSP00000500663"
"HMX1","ENSP00000499825"
"BAHCC1","ENSP00000516888"
"BAHCC1","ENSP00000516889"
"FAM20C","ENSP00000499851"
"MCRIP1","ENSP00000500493"
"MCRIP1","ENSP00000500564"
"MCRIP1","ENSP00000500382"
"MCRIP1","ENSP00000500166"
"MCRIP1","ENSP00000500656"
"MCRIP1","ENSP00000500318"
"MCRIP1","ENSP00000499966"
"MCRIP1","ENSP00000500936"
"MCRIP1","ENSP00000500358"
"MCRIP1","ENSP00000499975"
"MCRIP1","ENSP00000500711"
"NBPF1","ENSP00000518833"
"NBPF1","ENSP00000518168"
"STING1","ENSP00000500793"
"STING1","ENSP00000500691"
"STING1","ENSP00000500823"
"STING1","ENSP00000500679"
"STING1","ENSP00000500685"
"STING1","ENSP00000500885"
"STING1","ENSP00000500450"
"STING1","ENSP00000499985"
"SERTAD4","ENSP00000486369"
"HHAT","ENSP00000486634"
"HHAT","ENSP00000487400"
"HHAT","ENSP00000486128"
"HHAT","ENSP00000487414"
"HHAT","ENSP00000486611"
"HHAT","ENSP00000486054"
"HHAT","ENSP00000487124"
"HHAT","ENSP00000485903"
"HHAT","ENSP00000486378"
"FRG1","ENSP00000489664"
"FRG1","ENSP00000490541"
"FRG1","ENSP00000489960"
"FRG1","ENSP00000490915"
"FRG1","ENSP00000489984"
"DUX4L8","ENSP00000518266"
"REXO4","ENSP00000487504"
"REXO4","ENSP00000486065"
"REXO4","ENSP00000486474"
"REXO4","ENSP00000486690"
"TMEM256","ENSP00000491711"
"TMEM256","ENSP00000492057"
"PRR20D","ENSP00000392407"
"ADAMTS5","ENSP00000284987"
"ADAMTS5","ENSP00000498989"
"POU4F1","ENSP00000366413"
"COLEC12","ENSP00000383115"
"YES1","ENSP00000464380"
"YES1","ENSP00000462468"
"YES1","ENSP00000324740"
"CACNA2D4","ENSP00000493870"
"CACNA2D4","ENSP00000495256"
"CACNA2D4","ENSP00000494451"
"CACNA2D4","ENSP00000494913"
"CACNA2D4","ENSP00000496774"
"CACNA2D4","ENSP00000494474"
"CACNA2D4","ENSP00000493907"
"CACNA2D4","ENSP00000493490"
"CACNA2D4","ENSP00000494302"
"CACNA2D4","ENSP00000496204"
"CACNA2D4","ENSP00000494395"
"CACNA2D4","ENSP00000494565"
"CACNA2D4","ENSP00000495851"
"CACNA2D4","ENSP00000496164"
"DCAF11","ENSP00000495592"
"DCAF11","ENSP00000494282"
"DCAF11","ENSP00000495853"
"DCAF11","ENSP00000496283"
"DCAF11","ENSP00000493541"
"DCAF11","ENSP00000495416"
"DCAF11","ENSP00000496563"
"DCAF11","ENSP00000496199"
"DCAF11","ENSP00000494814"
"DCAF11","ENSP00000494885"
"DCAF11","ENSP00000493568"
"DCAF11","ENSP00000494633"
"DCAF11","ENSP00000495978"
"DCAF11","ENSP00000493919"
"DCAF11","ENSP00000496763"
"DCAF11","ENSP00000496671"
"DCAF11","ENSP00000493794"
"DCAF11","ENSP00000495991"
"DCAF11","ENSP00000495762"
"DCAF11","ENSP00000495803"
"DCAF11","ENSP00000496770"
"DCAF11","ENSP00000494318"
"DCAF11","ENSP00000493803"
"DCAF11","ENSP00000496156"
"DCAF11","ENSP00000494620"
"DCAF11","ENSP00000493483"
"DCAF11","ENSP00000493711"
"DCAF11","ENSP00000493707"
"DCAF11","ENSP00000495415"
"DCAF11","ENSP00000493825"
"ZNF502","ENSP00000486576"
"ZNF502","ENSP00000487139"
"ZNF502","ENSP00000485847"
"ZNF502","ENSP00000487297"
"CELF4","ENSP00000465348"
"CELF4","ENSP00000468256"
"CELF4","ENSP00000335631"
"CELF4","ENSP00000464917"
"CELF4","ENSP00000468428"
"CELF4","ENSP00000469627"
"CELF4","ENSP00000355089"
"CELF4","ENSP00000474788"
"CELF4","ENSP00000471616"
"CELF4","ENSP00000464794"
"CELF4","ENSP00000464996"
"CELF4","ENSP00000465125"
"CELF4","ENSP00000468109"
"CELF4","ENSP00000467056"
"CELF4","ENSP00000470649"
"CELF4","ENSP00000467732"
"CELF4","ENSP00000465211"
"CELF4","ENSP00000467571"
"CELF4","ENSP00000410584"
"CACNA1C","ENSP00000518352"
"CACNA1C","ENSP00000518353"
"CACNA1C","ENSP00000518362"
"CACNA1C","ENSP00000518363"
"CACNA1C","ENSP00000518364"
"CACNA1C","ENSP00000518365"
"CACNA1C","ENSP00000493743"
"CACNA1C","ENSP00000518304"
"CACNA1C","ENSP00000494109"
"CACNA1C","ENSP00000494095"
"CACNA1C","ENSP00000494058"
"CACNA1C","ENSP00000494765"
"CACNA1C","ENSP00000493781"
"CACNA1C","ENSP00000495321"
"CACNA1C","ENSP00000518366"
"CACNA1C","ENSP00000494149"
"CACNA1C","ENSP00000500406"
"CACNA1C","ENSP00000518305"
"CACNA1C","ENSP00000496400"
"CACNA1C","ENSP00000518367"
"CACNA1C","ENSP00000494999"
"CACNA1C","ENSP00000496049"
"CACNA1C","ENSP00000496458"
