,Blood,Brain,Lung,Skin
1278368,0.0,1.0,0.0,0.0
344921,0.0,0.0,0.0,1.0
2792807,1.0,0.0,0.0,0.0
336333,0.0,0.0,0.0,1.0
1285690,0.0,1.0,0.0,0.0
340127,0.0,0.0,0.0,1.0
344915,0.0,0.0,0.0,1.0
460542,1.0,0.0,0.0,0.0
2099106,1.0,0.0,0.0,0.0
336264,0.0,0.0,0.0,1.0
2697332,1.0,0.0,0.0,0.0
337730,0.0,0.0,0.0,1.0
1280962,0.0,1.0,0.0,0.0
2403128,1.0,0.0,0.0,0.0
226819,0.0,1.0,0.0,0.0
338749,0.0,0.0,0.0,1.0
340444,0.0,0.0,0.0,1.0
336227,0.0,0.0,0.0,1.0
342623,0.0,0.0,0.0,1.0
1282322,0.0,1.0,0.0,0.0
338166,0.0,0.0,0.0,1.0
1269359,0.0,1.0,0.0,0.0
1278949,0.0,1.0,0.0,0.0
1277939,0.0,1.0,0.0,0.0
344801,0.0,0.0,0.0,1.0
191803,1.0,0.0,0.0,0.0
1273652,0.0,1.0,0.0,0.0
340140,0.0,0.0,0.0,1.0
337994,0.0,0.0,0.0,1.0
342469,0.0,0.0,0.0,1.0
466925,1.0,0.0,0.0,0.0
2218208,1.0,0.0,0.0,0.0
342480,0.0,0.0,0.0,1.0
345045,0.0,0.0,0.0,1.0
1299033,0.0,1.0,0.0,0.0
339758,0.0,0.0,0.0,1.0
2698928,1.0,0.0,0.0,0.0
318783,1.0,0.0,0.0,0.0
1286708,0.0,1.0,0.0,0.0
1278196,0.0,1.0,0.0,0.0
1274868,0.0,1.0,0.0,0.0
564699,1.0,0.0,0.0,0.0
1298856,0.0,1.0,0.0,0.0
445215,1.0,0.0,0.0,0.0
382202,1.0,0.0,0.0,0.0
1274889,0.0,1.0,0.0,0.0
339289,0.0,0.0,0.0,1.0
1276375,0.0,1.0,0.0,0.0
1275742,0.0,1.0,0.0,0.0
2156551,1.0,0.0,0.0,0.0
339392,0.0,0.0,0.0,1.0
476761,1.0,0.0,0.0,0.0
2249231,1.0,0.0,0.0,0.0
337706,0.0,0.0,0.0,1.0
2735674,1.0,0.0,0.0,0.0
3386572,1.0,0.0,0.0,0.0
1278310,0.0,1.0,0.0,0.0
166109,1.0,0.0,0.0,0.0
