"","Chr","Start","End","SYMBOL","Spearman.Correlation","Spearman.P.value"
"1","chr2",133038366,133038367,"ANKRD30BL",-0.270287483906705,0.0321588098331903
"2","chr15",93311680,93311681,"ASB9P1",-0.361792731873469,0.0035736609690654
"3","chr22",30254179,30254180,"ASCC2",-0.362974031051724,0.00345843838743879
"4","chr8",103819582,103819583,"AZIN1",-0.384947337463976,0.00183796185666468
"5","chr21",11132230,11132231,"BAGE3",-0.364830419708915,0.00328402227853875
"6","chr22",16123315,16123316,"BMS1P18",-0.388966510723085,0.00162951893997229
"7","chr5",34190475,34190476,"C1QTNF3",-0.342203414585211,0.00604784003649813
"8","chr1",158237115,158237116,"CD1A",-0.472914273689394,9.0812433390812e-05
"9","chr5",628673,628674,"CEP72",-0.340309894065953,0.00635252656646576
"10","chr15",20545700,20545701,"CHEK2P2",-0.448509333788062,0.00022732279650926
"11","chr1",154544712,154544713,"CHRNB2",-0.473040093076265,9.03674708364027e-05
"12","chr20",34589749,34589750,"CNBD2",-0.276909279419484,0.0280173061128238
"13","chr1",16971143,16971144,"CROCCP2",-0.306104263676379,0.0146932533261043
"14","chr20",36346964,36346965,"CTNNBL1",-0.300762186151931,0.0166128776536104
"15","chr4",49105947,49105948,"CWH43",-0.426301026004566,0.000494488351825822
"16","chr6",168614013,168614014,"DACT2",-0.398315885724244,0.00122435555916455
"17","chrX",125605760,125605761,"DCAF12L1",-0.336094514645355,0.00707961340159483
"18","chr9",11339,11340,"DDX11L5",-0.469832028634698,0.000102363361816188
"19","chr5",83607925,83607926,"EDIL3",-0.32793966375216,0.00869524205577254
"20","chr14",106135352,106135353,"ELK2AP",-0.511989989501134,1.79431204177139e-05
"21","chr8",144940706,144940707,"EPPK1",-0.283413927296292,0.0243950250731749
"22","chr1",17054665,17054666,"ESPNP",-0.504772260859265,2.45768639796092e-05
"23","chr6",170686963,170686964,"FAM120B",0.213001315955063,0.0937215698743421
"24","chr7",201534,201535,"FAM20C",-0.442057345363415,0.000286473301216672
"25","chr1",143963911,143963912,"FAM72D",-0.278765600428311,0.0269402079016944
"26","chr1",161427180,161427181,"FCGR2A",-0.412661039063841,0.000776803063658051
"27","chr9",114410,114411,"FOXD4",-0.354018045132735,0.00442064540403787
"28","chr4",190584384,190584385,"FRG1",-0.332760537560234,0.00770526919609862
