"","Chr","Start","End","SYMBOL","Spearman.Correlation","Spearman.P.value"
"1","chr2",92291075,92291076,"ACTR3BP2",0.635859503559757,7.57453498593312e-20
"2","chr9",33523284,33523285,"ANKRD18B",-0.223382042507761,0.0226427238296744
"3","chr1",142535859,142535860,"ANKRD20A12P",0.596100825961275,1.31782680177547e-15
"4","chr16",46387351,46387352,"ANKRD26P1",0.64881488854883,2.76096221891581e-22
"5","chr2",132775336,132775337,"ANKRD30BL",0.334337167771494,0.000432130053337191
"6","chr21",14342515,14342516,"ANKRD30BP2",-0.540932877633388,8.8284783252262e-11
"7","chr21",11051011,11051012,"BAGE",0.293306330157045,0.00216885225992852
"8","chr21",11186650,11186651,"BAGE3",0.424593618717241,1.13583564269533e-09
"9","chr5",34193568,34193569,"C1QTNF3",-0.297780966605781,0.00214028433525433
"10","chr12",2365046,2365047,"CACNA1C-IT3",0.368829414034221,3.9757807812845e-06
"11","chr17",41400116,41400117,"CCDC200",-0.421233660510819,4.59303232205519e-06
"12","chr4",68265891,68265892,"CENPC",0.418156285757336,3.66681445056414e-06
"13","chr15",20006716,20006717,"CHEK2P2",0.608824655092375,3.1082021370555e-14
"14","chr7",148028743,148028744,"CNTNAP2",0.241748590058902,0.0113248089180812
"15","chr1",17057698,17057699,"CROCC",-0.230774953983193,0.0190129323927208
"16","chr4",49157503,49157504,"CWH43",0.679090399939844,3.57382098142981e-19
"17","chr2",87623859,87623860,"CYTOR",0.462408503603245,1.5669730887489e-09
"18","chr4",191036539,191036540,"DUX4L8",0.30887695709098,0.0015009331372682
"19","chr5",49437332,49437333,"EMB",-0.458329913578317,2.26977400364196e-09
"20","chr1",121355212,121355213,"EMBP1",-0.476138514889292,1.97023500275164e-10
"21","chr6",145786677,145786678,"EPM2A",-0.200564914580029,0.0211172890452678
"22","chr1",17053179,17053180,"ESPNP",0.262621049980632,0.00679899725145708
"23","chr8",139218652,139218653,"FAM135B",0.382477543303877,3.15839967548743e-05
"24","chr3",197895820,197895821,"FAM157A",0.280443667526027,0.000606804899238215
"25","chr17",21904639,21904640,"FLJ36000",-0.230350506548035,0.00863365840523854
"26","chr9",69227928,69227929,"FOXD4L6",-0.261992744342717,0.00750972455912474
"27","chr4",190802459,190802460,"FRG1",-0.302264614355402,0.000188648071426075
"28","chr20",29580985,29580986,"FRG1BP",0.256801545943995,0.00917530376195028
"29","chr9",68412838,68412839,"FRG1JP",-0.59780056944665,1.46410446062498e-13
