# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20071	BCORL1	1	3.557018e-30	6.597913e-26	6.597913e-26	2.121487e+2	7.070511e-2	15	7.070511e-5	1.500000e-2	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	BCORL1
Ensembl Genes	8848	CHMP6	2	1.621280e-26	3.007312e-22	1.503656e-22	9.461078e+1	1.691139e-1	16	1.691139e-4	1.600000e-2	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CHMP6
Ensembl Genes	8847	RPTOR	3	3.211915e-26	5.957781e-22	1.985927e-22	9.061426e+1	1.765726e-1	16	1.765726e-4	1.600000e-2	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	RPTOR
Ensembl Genes	20244	UBL4A	4	4.127826e-19	7.656704e-15	1.914176e-15	2.315944e+3	2.590736e-3	6	2.590736e-6	6.000000e-3	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	UBL4A
Ensembl Genes	20016	PGRMC1	5	3.952526e-18	7.331540e-14	1.466308e-14	1.199828e+2	8.334530e-2	10	8.334530e-5	1.000000e-2	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	PGRMC1
Ensembl Genes	20234	FLNA	6	8.383287e-18	1.555016e-13	2.591693e-14	2.878187e+2	2.779528e-2	8	2.779528e-5	8.000000e-3	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	FLNA
Ensembl Genes	20235	EMD	7	1.171381e-16	2.172795e-12	3.103992e-13	9.029186e+2	6.645117e-3	6	6.645117e-6	6.000000e-3	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	EMD
Ensembl Genes	20245	SLC10A3	8	6.900456e-16	1.279966e-11	1.599957e-12	6.716519e+2	8.933198e-3	6	8.933198e-6	6.000000e-3	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC10A3
Ensembl Genes	19605	ATP6AP2	9	1.187172e-15	2.202085e-11	2.446761e-12	4.979196e+1	2.209192e-1	11	2.209192e-4	1.100000e-2	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	ATP6AP2
Ensembl Genes	20070	UTP14A	10	1.406882e-15	2.609625e-11	2.609625e-12	1.512911e+2	5.287820e-2	8	5.287820e-5	8.000000e-3	1	5.385735e-2	1.000000e+0	1.000000e+0	1.856757e+1	5.385735e-2	1	1	1.001001e-3	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	UTP14A
