,Chr,Start,End
415996,chr17,21558242,21558243
2953703,chr16,84541444,84541445
302051,chr8,144403402,144403403
468089,chr17,80387409,80387410
1492003,chr21,10428352,10428353
3164216,chr3,9023607,9023608
115070,chr16,57831904,57831905
2820820,chr11,60695215,60695216
256187,chr5,177398022,177398023
2389887,chr16,83949339,83949340
3412936,chr11,71034995,71034996
434085,chr3,143526755,143526756
3065478,chr2,2274622,2274623
157057,chr19,29284741,29284742
2691925,chr20,52759005,52759006
689114,chr7,2643362,2643363
2947071,chr16,57907336,57907337
1306314,chr19,18280366,18280367
2900766,chr14,103214191,103214192
2226242,chr16,1518592,1518593
320543,chrY,13489239,13489240
2155127,chr7,129424529,129424530
2956992,chr16,87725464,87725465
2136690,chr14,102518454,102518455
2917185,chr15,74891625,74891626
3264967,chr6,139682755,139682756
697239,chr1,3473366,3473367
2524090,chr3,129068249,129068250
2647018,chr17,74822673,74822674
2636731,chrX,99891422,99891423
2811538,chr11,2542778,2542779
273123,chr7,1659275,1659276
485947,chr7,1535632,1535633
22956,chr1,185618478,185618479
2574792,chr6,170734443,170734444
476751,chr21,44758758,44758759
3253561,chr6,36210068,36210069
2243976,chr2,7023597,7023598
61457,chr11,132812633,132812634
2865632,chr12,127940856,127940857
2893192,chr14,74744713,74744714
107261,chr16,1205676,1205677
2904231,chr14,105499430,105499431
947055,chr11,118986849,118986850
3093481,chr2,173310455,173310456
664638,chr8,141068615,141068616
2865018,chr12,125242855,125242856
2868433,chr12,132933091,132933092
2405429,chr17,38935923,38935924
2969095,chr17,8286528,8286529
2403794,chr17,32751554,32751555
3125221,chr20,60834138,60834139
577032,chr21,10597191,10597192
382203,chr6,156830767,156830768
2159059,chr8,141473653,141473654
441308,chr7,2999155,2999156
90875,chr14,91723906,91723907
3064571,chr2,392811,392812
3070668,chr2,25470899,25470900
674538,chr15,57605212,57605213
976372,chr12,34372251,34372252
3276280,chr7,1753637,1753638
1623799,chr4,1972506,1972507
659234,chr5,149933559,149933560
3154973,chr22,43692671,43692672
213062,chr22,51169838,51169839
488091,chr7,158716403,158716404
2100405,chr12,650249,650250
1130764,chr15,79073064,79073065
2654210,chr11,128206131,128206132
2729962,chr1,7080897,7080898
3232496,chr5,124229157,124229158
482734,chr5,38879872,38879873
323921,chr1,38096049,38096050
195104,chr20,42744553,42744554
947056,chr11,118986854,118986855
2654160,chr11,114522033,114522034
686907,chr5,1911818,1911819
137351,chr17,78973667,78973668
67189,chr12,53068991,53068992
683201,chr20,62317699,62317700
318912,chrX,21392318,21392319
537301,chr16,1583899,1583900
2690936,chr2,242123844,242123845
155135,chr19,15568387,15568388
2571001,chr6,138200296,138200297
302079,chr8,144442151,144442152
3320159,chr8,57110855,57110856
453505,chr1,245728899,245728900
657741,chr4,173942771,173942772
2206494,chr10,135040988,135040989
393512,chrX,138287384,138287385
2860328,chr12,114200488,114200489
2988195,chr17,71205802,71205803
2565979,chr6,42678374,42678375
2841768,chr12,737175,737176
3180948,chr3,126924120,126924121
2372598,chr15,97491221,97491222
2704331,chr7,11012994,11012995
268054,chr6,132270548,132270549
2820095,chr11,56884430,56884431
2138047,chr15,86328514,86328515
437344,chr5,45703009,45703010
149271,chr19,1911974,1911975
3218646,chr5,634488,634489
427844,chr2,242830013,242830014
2693081,chr21,47950499,47950500
2310807,chr11,3148446,3148447
473686,chr2,133031386,133031387
2916539,chr15,73334912,73334913
2899536,chr14,101539007,101539008
327400,chr10,3921529,3921530
3329630,chr8,143272006,143272007
2159766,chr8,143703507,143703508
1446849,chr2,239162262,239162263
320284,chrX,153664924,153664925
48261,chr11,11644161,11644162
368883,chr21,45337209,45337210
3396777,chr1,161130995,161130996
227013,chr3,180546903,180546904
1483228,chr20,55533289,55533290
2662080,chr9,129442980,129442981
2135275,chr12,121456155,121456156
609105,chr7,56243724,56243725
3275508,chr7,1507010,1507011
2988469,chr17,71602035,71602036
665088,chr8,145989777,145989778
2771829,chr1,229283137,229283138
351055,chr17,44952529,44952530
1327081,chr19,47988444,47988445
690621,chr8,42135242,42135243
2776990,chr10,1749360,1749361
2149677,chr20,60273466,60273467
2287890,chr1,229283128,229283129
672297,chr12,56345865,56345866
593890,chr4,186123905,186123906
467235,chr17,72786473,72786474
491179,chr9,137655381,137655382
2884571,chr13,114918466,114918467
462929,chr15,101694814,101694815
624419,chrX,16737770,16737771
3310609,chr8,1849798,1849799
3378836,chrX,105970451,105970452
176394,chr2,105495765,105495766
3278356,chr7,2932691,2932692
2560437,chr6,503785,503786
206584,chr22,30115366,30115367
3369561,chrX,21392842,21392843
177300,chr2,113993046,113993047
198776,chr20,62129062,62129063
471383,chr19,42007360,42007361
267760,chr6,127796348,127796349
3294724,chr7,98701608,98701609
2956496,chr16,87369929,87369930
427408,chr2,234763176,234763177
2127369,chr19,2495085,2495086
2236945,chr6,135946934,135946935
474919,chr20,555374,555375
2929990,chr16,1518589,1518590
1619339,chr3,195672197,195672198
457022,chr11,68207362,68207363
2697691,chr4,8547093,8547094
2133714,chr11,66511627,66511628
2137934,chr15,79306797,79306798
436502,chr4,179760423,179760424
108623,chr16,2960065,2960066
390604,chr9,120141543,120141544
345466,chr16,9849656,9849657
3415104,chr11,126619311,126619312
318913,chrX,21392324,21392325
3166133,chr3,13432140,13432141
107127,chr16,822826,822827
2923998,chr15,99995323,99995324
3064843,chr2,888499,888500
2496796,chr21,40395591,40395592
3158486,chr22,47048853,47048854
3055580,chr19,47969102,47969103
67199,chr12,53069270,53069271
2757493,chr1,147091036,147091037
3213039,chr4,148151739,148151740
239362,chr4,140036121,140036122
2701023,chr5,150006054,150006055
157062,chr19,29284777,29284778
3397051,chr1,168057234,168057235
3258108,chr6,70845556,70845557
2257426,chr1,839592,839593
686676,chr4,161318742,161318743
475749,chr20,56796942,56796943
