,Chr,Start,End
2631780,chrX,39943404,39943405
290036,chr8,876927,876928
523040,chr12,108523756,108523757
647890,chr19,43773225,43773226
2226969,chr16,71523446,71523447
1762337,chr5,178734642,178734643
653395,chr21,46977687,46977688
2228321,chr17,76962093,76962094
492517,chrY,13488271,13488272
496831,chr1,38510231,38510232
2792122,chr10,95860595,95860596
3288315,chr7,56020298,56020299
2212618,chr2,45171642,45171643
2117897,chr7,623691,623692
2426398,chr18,77410108,77410109
3095755,chr2,193758619,193758620
2306086,chr10,134836129,134836130
2508727,chr22,42919245,42919246
170101,chr2,43019685,43019686
1238575,chr17,55581913,55581914
565985,chr2,66672876,66672877
2127183,chr14,95675859,95675860
2212719,chr2,68386742,68386743
688750,chr6,170501323,170501324
2801952,chr10,132634684,132634685
2674643,chr13,113422444,113422445
613412,chr8,11057747,11057748
3000771,chr17,80873333,80873334
679930,chr19,37548069,37548070
710257,chr1,17026503,17026504
2185050,chr3,52322679,52322680
513363,chr11,31836073,31836074
3211866,chr4,138001182,138001183
1331176,chr19,51176539,51176540
538452,chr16,11767124,11767125
1220809,chr17,21530239,21530240
2988469,chr17,71602035,71602036
320475,chrY,13463675,13463676
1153787,chr16,12352124,12352125
3327975,chr8,140946084,140946085
2255183,chr20,33696469,33696470
578398,chr21,45293202,45293203
2219617,chr1,793769,793770
3503208,chr4,38190484,38190485
375072,chr4,852639,852640
2112542,chr22,29661452,29661453
1477164,chr20,46523798,46523799
2149677,chr20,60273466,60273467
3205527,chr4,56202764,56202765
659388,chr5,172271870,172271871
626392,chrX,115005098,115005099
332136,chr11,57097739,57097740
619612,chr9,38741269,38741270
1997045,chr9,66457407,66457408
627310,chrY,10037875,10037876
2858404,chr12,109983559,109983560
2571001,chr6,138200296,138200297
2580121,chr7,6179432,6179433
2028591,chr9,130865693,130865694
14035,chr1,54203814,54203815
2127532,chr21,45923889,45923890
1077632,chr14,69821243,69821244
2994220,chr17,77743782,77743783
195104,chr20,42744553,42744554
2165909,chr10,326378,326379
2855555,chr12,89214216,89214217
3310041,chr8,900076,900077
2653545,chr10,79821096,79821097
2646578,chr16,87712430,87712431
84354,chr14,21560028,21560029
2111537,chr20,44451904,44451905
3148553,chr22,33346545,33346546
3364090,chr9,139872395,139872396
2142300,chr17,74128916,74128917
391240,chr9,131862467,131862468
2100243,chr11,119497241,119497242
3213039,chr4,148151739,148151740
107135,chr16,850567,850568
2632380,chrX,41301893,41301894
619632,chr9,66456491,66456492
2310807,chr11,3148446,3148447
2461491,chr2,25384267,25384268
3254786,chr6,41342565,41342566
504119,chr1,227506913,227506914
2255802,chr4,2286343,2286344
1997065,chr9,66457826,66457827
2578161,chr7,2137027,2137028
2870879,chr13,22864889,22864890
72916,chr12,117103629,117103630
2896302,chr14,93426482,93426483
1317045,chr19,37784408,37784409
2426399,chr18,77410113,77410114
666679,chr9,138059924,138059925
2881743,chr13,112715460,112715461
636799,chr12,133303954,133303955
2991816,chr17,75143207,75143208
2177740,chr19,2285676,2285677
795458,chr1,206973962,206973963
1975100,chr8,140771788,140771789
