"","Chr","Start","End","SYMBOL","Spearman.Correlation","Spearman.P.value"
"1","chr19",58867828,58867829,"A1BG",-0.254025582919787,0.00798134385354516
"2","chr19",58862118,58862119,"A1BG-AS1",0.222626282933526,0.0370874973476082
"3","chr12",9277256,9277257,"A2M",-0.251351487156529,0.0125409653096442
"4","chr12",9217802,9217803,"A2M-AS1",-0.215945736252865,0.037623154635875
"5","chr12",8926162,8926163,"A2ML1",0.251156517739189,0.025571090328373
"6","chr1",33760802,33760803,"A3GALT2",-0.262006854692492,0.0148125086352551
"7","chr22",43098247,43098248,"A4GALT",-0.352089975234357,0.000824762576811496
"8","chr17",31825715,31825716,"AA06",0.302128457252445,0.00580366492489758
"9","chr12",53715255,53715256,"AAAS",0.295336627512513,0.00706638859680797
"10","chr12",125671504,125671505,"AACS",-0.386272380037079,7.20629692361763e-05
"11","chr5",178216851,178216852,"AACSP1",0.277161067944334,0.00817750788409039
"12","chr3",151523907,151523908,"AADAC",-0.20899905402688,0.0315498566754797
"13","chr1",12708498,12708499,"AADACL4",-0.243881789550865,0.0212706969069045
"14","chr4",171011487,171011488,"AADAT",-0.311229744555323,0.000987427841086188
"15","chr15",67539475,67539476,"AAGAB",0.245957391285344,0.022446518570792
"16","chr11",77534153,77534154,"AAMDC",-0.205324963021577,0.049593409998702
"17","chr2",219134868,219134869,"AAMP",0.208324361447207,0.0321154913181227
"18","chr17",74462043,74462044,"AANAT",0.411773689341746,0.000133850817201379
"19","chr16",70323148,70323149,"AARS1",0.23911634249154,0.0183331218075217
"20","chr6",44281069,44281070,"AARS2",-0.238729434729364,0.00953860154664495
"21","chr4",57253582,57253583,"AASDH",0.231463715489879,0.0140671219810096
"22","chr7",121784422,121784423,"AASS",-0.253026029980955,0.0106825852831714
"23","chr21",45237803,45237804,"AATBC",0.223989831727099,0.021618440872465
"24","chr17",35306550,35306551,"AATF",-0.21641334560502,0.0305702006626894
"25","chr17",79139751,79139752,"AATK",-0.304051995640318,0.00246364671489049
"26","chr16",8768576,8768577,"ABAT",-0.224719042784508,0.0375118747658587
"27","chr9",107637043,107637044,"ABCA1",-0.327383894492949,0.00236732309685316
"28","chr7",48494121,48494122,"ABCA13",-0.332863273346349,0.00224633193164335
"29","chr16",2389890,2389891,"ABCA17P",-0.320416090427514,0.000682058686726329
"30","chr9",139903901,139903902,"ABCA2",-0.30109403059885,0.0033596964816151
"31","chr16",2390145,2390146,"ABCA3",-0.319882335477651,0.00124826901439268
"32","chr1",94568063,94568064,"ABCA4",-0.271901275267054,0.000900396801077767
"33","chr17",67322909,67322910,"ABCA5",-0.246853212911329,0.015881681526468
"34","chr19",1040307,1040308,"ABCA7",-0.28781861035144,0.0051493561871806
"35","chr1",229694256,229694257,"ABCB10",0.206393698309225,0.0355479468986621
"36","chr7",87105087,87105088,"ABCB4",-0.28466735197194,0.0042932928499844
"37","chr2",220083044,220083045,"ABCB6",-0.31929968542557,0.00107132121852009
"38","chrX",74376043,74376044,"ABCB7",0.474776102457268,1.98641099047013e-06
"39","chr7",150731685,150731686,"ABCB8",0.241936217289531,0.0153046840348012
"40","chr12",123450939,123450940,"ABCB9",-0.250638793099656,0.0159625069018491
"41","chr16",16215840,16215841,"ABCC1",-0.258788416028842,0.00932792794632488
"42","chr16",48257293,48257294,"ABCC11",-0.241594823325388,0.0144342938622445
"43","chr16",48094064,48094065,"ABCC12",0.243310937469507,0.0231548324329694
"44","chr17",48712238,48712239,"ABCC3",-0.329726184713973,0.000492643064189498
"45","chr13",95769626,95769627,"ABCC4",-0.304875609256156,0.00227013380806308
"46","chr3",183736003,183736004,"ABCC5",0.206587268613036,0.0229987933364137
"47","chr3",183681222,183681223,"ABCC5-AS1",0.208783251636691,0.0257968773275059
"48","chr11",17498547,17498548,"ABCC8",-0.316422382234715,0.00159102780681538
"49","chr12",22093967,22093968,"ABCC9",-0.42199603878608,3.09611837014825e-05
"50","chrX",152990316,152990317,"ABCD1",0.39348678592854,8.72876219492958e-05
"51","chr1",94883878,94883879,"ABCD3",-0.228197803082136,0.0210656159595291
"52","chr14",74769562,74769563,"ABCD4",-0.236934957333081,0.0176221864777776
"53","chr3",183904485,183904486,"ABCF3",-0.331003686817732,0.00173905443413291
"54","chr21",43620260,43620261,"ABCG1",-0.360343575106856,0.000388158240829669
"55","chr4",89091761,89091762,"ABCG2",-0.28005775232927,0.00436000357487223
"56","chr11",119020059,119020060,"ABCG4",-0.347483898662813,0.000455431917085187
"57","chr2",44059172,44059173,"ABCG5",-0.359983123234194,0.000714532621031145
"58","chr2",44102512,44102513,"ABCG8",-0.312405798130473,0.00229851243114408
"59","chr7",73152790,73152791,"ABHD11",-0.286340083306142,0.00266211685665848
"60","chr7",73145644,73145645,"ABHD11-AS1",0.269437779179189,0.0149984680215101
"61","chr20",25370846,25370847,"ABHD12",-0.263854017914666,0.00737071144095379
"62","chr14",51338950,51338951,"ABHD12B",-0.258304499983936,0.00910639240810879
"63","chr13",108870923,108870924,"ABHD13",-0.205738699136407,0.0370786853628613
"64","chr3",52009079,52009080,"ABHD14A",-0.224520763878648,0.017316535739373
"65","chr3",52007723,52007724,"ABHD14B",-0.232803970146909,0.0185387570797251
"66","chr17",27893465,27893466,"ABHD15",-0.273692681472435,0.00282759239614225
"67","chr20",62493319,62493320,"ABHD16B",-0.296153640229057,0.00535022820108633
"68","chr19",1885532,1885533,"ABHD17A",-0.211644300777379,0.0278885062963993
"69","chr9",74525716,74525717,"ABHD17B",-0.279741418821813,0.00440622889470712
"70","chr15",80988481,80988482,"ABHD17C",-0.276711514915379,0.00487164010974182
"71","chr4",128886651,128886652,"ABHD18",0.215055956409352,0.0234087107582458
"72","chr15",89632321,89632322,"ABHD2",-0.296298266154987,0.00237405546790294
"73","chr18",19283775,19283776,"ABHD3",0.321474675458343,0.000459632737083126
"74","chr14",23094347,23094348,"ABHD4",-0.296137012383577,0.00764970219732665
"75","chr3",43935992,43935993,"ABHD5",-0.310029951037714,0.000928371199822451
"76","chr3",58223351,58223352,"ABHD6",-0.25028078045688,0.0233402661911483
"77","chr19",17412110,17412111,"ABHD8",-0.287775883601119,0.00335830794255699
"78","chr2",204193187,204193188,"ABI2",0.27833625080595,0.0042238663975506
"79","chr9",133587748,133587749,"ABL1",-0.289672861959912,0.00561763842785823
"80","chr1",179198170,179198171,"ABL2",0.214189502365553,0.0414782289319734
"81","chr10",116528074,116528075,"ABLIM1",-0.339937936240214,0.00080190281799009
"82","chr4",8160140,8160141,"ABLIM2",-0.380077667743979,0.000202351668868355
"83","chr5",148585644,148585645,"ABLIM3",-0.332480642434321,0.00227440905929022
"84","chr9",136151645,136151646,"ABO",-0.357195521139244,0.00073513403162085
"85","chr17",1083459,1083460,"ABR",-0.363160564455743,0.000237579921732559
"86","chr8",107920787,107920788,"ABRA",-0.207379189796907,0.0355628735707327
"87","chr6",139350683,139350684,"ABRACL",-0.230394386284626,0.0211053645994959
"88","chr4",84406088,84406089,"ABRAXAS1",-0.299214449717175,0.00357337075844857
"89","chr10",126555055,126555056,"ABRAXAS2",-0.268058391707047,0.0115682104235299
"90","chr6",26572996,26572997,"ABT1",0.266844520799594,0.00728028261096634
"91","chr3",127391553,127391554,"ABTB1",-0.258515814717026,0.00452935247678607
"92","chr11",34378527,34378528,"ABTB2",-0.28124389295318,0.00186023114426873
"93","chr3",38178314,38178315,"ACAA1",-0.258699410247181,0.013816550379963
"94","chr18",47258178,47258179,"ACAA2",-0.2650928518671,0.00833995165032336
"95","chr17",35765805,35765806,"ACACA",-0.232783559840494,0.040270491868532
"96","chr12",109592528,109592529,"ACACB",-0.272917868430442,0.00575759924752662
"97","chr12",112124444,112124445,"ACAD10",-0.226134867252193,0.014222027613161
"98","chr3",128594679,128594680,"ACAD9",0.212549132112155,0.0356230118555731
"99","chr2",211089525,211089526,"ACADL",-0.487536892624786,5.18965929375388e-06
"100","chr1",76190666,76190667,"ACADM",-0.251566039622215,0.00928719927767803
"101","chr12",121164036,121164037,"ACADS",-0.352755706472297,1.55280110594127e-05
"102","chr15",89347120,89347121,"ACAN",-0.40729786534757,0.000146061811204156
"103","chr17",7246726,7246727,"ACAP1",0.217347550857857,0.0363702853620532
"104","chr3",195162983,195162984,"ACAP2",-0.265732376090458,0.0151803400353546
"105","chr1",1243421,1243422,"ACAP3",-0.269222739552442,0.0144519229338071
"106","chr11",107992712,107992713,"ACAT1",0.283032804835552,0.00626127972272432
"107","chr6",160182624,160182625,"ACAT2",0.302674841415208,0.00169916198591038
"108","chr1",226354167,226354168,"ACBD3",-0.251973009782239,0.0106248155715136
"109","chr17",43210030,43210031,"ACBD4",-0.304783771943592,0.00481833893831031
"110","chr10",27529734,27529735,"ACBD5",-0.244941299329122,0.0214450801784474
"111","chr1",180477785,180477786,"ACBD6",-0.231802898446844,0.0223357216205664
"112","chr10",15130820,15130821,"ACBD7",-0.233514775647783,0.0206617305586313
"113","chr16",67693452,67693453,"ACD",-0.298449385410379,0.00473775163798126
"114","chr17",61574194,61574195,"ACE",-0.269277050249469,0.00646908684066983
"115","chr19",6307694,6307695,"ACER1",0.204727202067603,0.0703154386174719
"116","chr9",19408584,19408585,"ACER2",-0.239600326099112,0.0174914212760502
"117","chr11",76572268,76572269,"ACER3",-0.26121832020537,0.0139615848254058
"118","chr7",100493102,100493103,"ACHE",-0.399890777332113,4.94765493578523e-05
"119","chr3",42846140,42846141,"ACKR2",-0.268970519290019,0.015180878717304
"120","chr2",237655729,237655730,"ACKR3",-0.319200428583357,0.00181689675733317
"121","chr3",132273531,132273532,"ACKR4",-0.228077774224962,0.0262168037249604
"122","chr17",40074490,40074491,"ACLY",-0.270935088008285,0.00456644658049577
"123","chr9",32155505,32155506,"ACO1",0.273481410356377,0.0141048046368418
"124","chr14",74004102,74004103,"ACOT1",-0.251346411726125,0.0219012607052991
"125","chr1",54941111,54941112,"ACOT11",0.376042935736627,0.000281577244223684
"126","chr5",80689752,80689753,"ACOT12",-0.3565092236168,0.000605443874950155
"127","chr6",24682357,24682358,"ACOT13",-0.249214108573179,0.0159976608807324
"128","chr14",74038213,74038214,"ACOT2",-0.238168468483174,0.018814267991948
"129","chr14",74058626,74058627,"ACOT4",-0.29391500707434,0.0015792323344929
"130","chr14",74079025,74079026,"ACOT6",-0.209619653652099,0.0437349349896298
"131","chr1",6453840,6453841,"ACOT7",-0.219613617197975,0.0250921907926124
"132","chrX",23761156,23761157,"ACOT9",0.431096690167361,9.36291536450693e-06
"133","chr17",73975575,73975576,"ACOX1",-0.203001619399242,0.0428019907180203
"134","chr3",58510176,58510177,"ACOX2",-0.227897995998532,0.021239866560418
"135","chr4",8405069,8405070,"ACOX3",-0.340044553348043,7.07441796323153e-05
"136","chr2",111490388,111490389,"ACOXL",-0.291598515543995,0.00230825060030428
"137","chr11",47270263,47270264,"ACP2",-0.211801521937361,0.0372830101755226
"138","chr19",51290447,51290448,"ACP4",0.21143400219617,0.0597404238098965
"139","chr1",147142037,147142038,"ACP6",-0.310469689842552,0.000474247631362138
"140","chr19",39574813,39574814,"ACP7",-0.388157947792483,0.0004082408997334
"141","chr22",51160538,51160539,"ACR",-0.296088461498862,0.00278037892508397
"142","chr19",6199332,6199333,"ACSBG2",-0.221691041532039,0.0299497778267942
"143","chr17",48545470,48545471,"ACSF2",0.270171818462271,0.011876933880245
"144","chr16",89199951,89199952,"ACSF3",0.413010972466285,4.95372259086649e-06
"145","chr4",185747728,185747729,"ACSL1",-0.286374151800363,0.00291999868290021
"146","chrX",108976283,108976284,"ACSL4",0.388683044055537,0.000140441074214346
"147","chr10",114136073,114136074,"ACSL5",-0.222609552599239,0.0125872040111173
"148","chr5",131347256,131347257,"ACSL6",-0.454631252614934,1.78113248537936e-05
"149","chr10",96943503,96943504,"ACSM6",-0.334050351886746,0.000529055383313082
"150","chr20",25038238,25038239,"ACSS1",0.232220435862339,0.0176875652757881
"151","chr12",81471875,81471876,"ACSS3",-0.314749678957553,0.00113728800132146
"152","chr1",229568161,229568162,"ACTA1",-0.297522154918053,0.00324107816978894
"153","chr7",5572125,5572126,"ACTB",0.343184300553149,0.000361835533699373
"154","chr5",57057368,57057369,"ACTBL2",-0.239491288670264,0.0282266720765421
"155","chr15",35087773,35087774,"ACTC1",-0.327901907216031,0.000767227297795301
"156","chr11",71109329,71109330,"ACTE1P",-0.329176122709415,0.00153507617635781
"157","chr17",79486659,79486660,"ACTG1",-0.338624754569301,0.00096107512414466
"158","chr1",202830899,202830900,"ACTG1P25",-0.248075399227618,0.0148090025039252
"159","chr20",32255008,32255009,"ACTL10",-0.373012003976935,0.000231064035632026
"160","chr3",179281109,179281110,"ACTL6A",-0.241793636041932,0.0153669016609268
"161","chr7",100253743,100253744,"ACTL6B",-0.266763555709328,0.00672275368742338
"162","chr9",111035142,111035143,"ACTL7B",-0.360485096852104,0.000946938324489106
"163","chr1",18256413,18256414,"ACTL8",-0.259621722814454,0.00874647600741877
"164","chr19",8774044,8774045,"ACTL9",0.296808130960564,0.00190654308639304
"165","chr14",69345811,69345812,"ACTN1",-0.267148130089453,0.00637321578057798
"166","chr14",69447153,69447154,"ACTN1-DT",-0.226877577080312,0.0278787437319718
"167","chr1",236850018,236850019,"ACTN2",-0.270219166810382,0.00467901657347497
"168","chr11",66314322,66314323,"ACTN3",-0.233725902821985,0.0192636877089968
"169","chr19",39126551,39126552,"ACTN4",-0.305230198138906,0.00658028278668712
"170","chr14",58666660,58666661,"ACTR10",0.216050683588067,0.0335500278019216
"171","chr2",98275898,98275899,"ACTR1B",-0.272678519145732,0.0126312549805123
"172","chr2",65455134,65455135,"ACTR2",-0.263028103524317,0.0162867711288786
"173","chr2",114648203,114648204,"ACTR3",-0.218526943608565,0.0251187731342113
"174","chr7",152622110,152622111,"ACTR3B",-0.376722724012634,0.000447559953455501
"175","chr10",38929104,38929105,"ACTR3BP5",-0.25842009221386,0.00839892759018766
"176","chr20",37377237,37377238,"ACTR5",-0.222167778128129,0.0234086150048337
"177","chr12",100593803,100593804,"ACTR6",-0.207117405735584,0.0396880503066036
"178","chr3",53916215,53916216,"ACTR8",-0.217546047891269,0.0314126272525413
"179","chr1",2945562,2945563,"ACTRT2",-0.327989701303475,0.00279723282352962
"180","chr2",158630810,158630811,"ACVR1",-0.344185568126025,0.000202519348006643
"181","chr12",52346270,52346271,"ACVR1B",0.239726815104163,0.0174302495664886
"182","chr2",158485284,158485285,"ACVR1C",-0.282812503888818,0.00435797736082159
"183","chr2",148601816,148601817,"ACVR2A",-0.331020225905703,0.000870741730179069
"184","chr3",38495854,38495855,"ACVR2B",-0.370517508040845,0.000126438742374399
"185","chr3",38496075,38496076,"ACVR2B-AS1",-0.363274271575524,0.000150496021997086
"186","chr12",52317424,52317425,"ACVRL1",-0.272988914020562,0.00527207829065206
"187","chr3",52017188,52017189,"ACY1",-0.221011092350635,0.0420867091289459
"188","chr11",67413384,67413385,"ACY3",-0.210017762595001,0.0551812366933478
"189","chr2",54389981,54389982,"ACYP2",-0.325540275600852,0.00267251401010435
"190","chr20",43230095,43230096,"ADA",-0.334575595699125,0.00199136052716623
"191","chr22",17694389,17694390,"ADA2",-0.241907471312458,0.0328610591548264
"192","chr4",123286162,123286163,"ADAD1",-0.210772999334293,0.023755509722078
"193","chr16",84228960,84228961,"ADAD2",-0.246697700729272,0.0138314915419053
"194","chr15",59041426,59041427,"ADAM10",-0.21609426839771,0.0203671715286896
"195","chr17",42852155,42852156,"ADAM11",-0.309686049934441,0.000993933027531631
"196","chr10",128076421,128076422,"ADAM12",-0.374916504289216,0.000213334141258148
"197","chr1",155023416,155023417,"ADAM15",-0.260307283982294,0.00364012517860115
"198","chr2",9695638,9695639,"ADAM17",-0.224978629290309,0.0292504892143351
"199","chr5",156908913,156908914,"ADAM19",-0.20288643623261,0.0451136966460146
"200","chr14",71022841,71022842,"ADAM20",-0.229539868091638,0.018499252929933
"201","chr14",70756113,70756114,"ADAM21P1",-0.210217886701166,0.0322019422867883
"202","chr7",87620742,87620743,"ADAM22",0.28155322325923,0.0108862146743504
