,Chr,Start,End
0,chr1,10497,10498
825,chr1,1539857,1539858
2547,chr1,6682929,6682930
4877,chr1,16011487,16011488
5114,chr1,16862396,16862397
5116,chr1,16862416,16862417
5117,chr1,16862425,16862426
5175,chr1,17019621,17019622
5226,chr1,17034683,17034684
5792,chr1,19991678,19991679
8943,chr1,32023614,32023615
8945,chr1,32023635,32023636
9688,chr1,33720973,33720974
9858,chr1,35351568,35351569
9859,chr1,35351572,35351573
9860,chr1,35351579,35351580
9861,chr1,35351581,35351582
10035,chr1,36039923,36039924
10382,chr1,36785331,36785332
10859,chr1,38510698,38510699
10860,chr1,38510708,38510709
13233,chr1,47909782,47909783
13574,chr1,51717085,51717086
14035,chr1,54203814,54203815
14036,chr1,54203821,54203822
14037,chr1,54203828,54203829
14673,chr1,61549982,61549983
14725,chr1,62660871,62660872
16445,chr1,91172930,91172931
16446,chr1,91172936,91172937
19371,chr1,148901932,148901933
19373,chr1,148901940,148901941
19397,chr1,149284535,149284536
19411,chr1,149333181,149333182
19413,chr1,149333192,149333193
19414,chr1,149333199,149333200
20073,chr1,154301889,154301890
20286,chr1,155035008,155035009
20603,chr1,156358562,156358563
20712,chr1,156646945,156646946
21408,chr1,166853787,166853788
21409,chr1,166853789,166853790
22566,chr1,181130733,181130734
22956,chr1,185618478,185618479
23305,chr1,200839410,200839411
23320,chr1,200843333,200843334
23321,chr1,200843335,200843336
24563,chr1,208084005,208084006
25293,chr1,213324846,213324847
25308,chr1,214153409,214153410
25770,chr1,220864027,220864028
28643,chr1,236156946,236156947
32610,chr10,22624591,22624592
33728,chr10,30452891,30452892
34320,chr10,35929278,35929279
35082,chr10,46992018,46992019
35104,chr10,46993083,46993084
35105,chr10,46993092,46993093
35106,chr10,46993098,46993099
35107,chr10,46993100,46993101
35108,chr10,46993106,46993107
35214,chr10,49673583,49673584
35363,chr10,50745833,50745834
36006,chr10,65801993,65801994
36007,chr10,65802007,65802008
36018,chr10,68609431,68609432
38299,chr10,88730561,88730562
41145,chr10,104170425,104170426
41415,chr10,105313230,105313231
42362,chr10,118030755,118030756
42364,chr10,118030776,118030777
43156,chr10,121577595,121577596
43159,chr10,121577648,121577649
44077,chr10,126849495,126849496
44160,chr10,127584276,127584277
44168,chr10,127584593,127584594
45093,chr10,134499683,134499684
45435,chr10,135048848,135048849
45574,chr10,135195081,135195082
45681,chr10,135491067,135491068
47493,chr11,6478110,6478111
47542,chr11,6651257,6651258
48261,chr11,11644161,11644162
48662,chr11,15095631,15095632
49078,chr11,18518141,18518142
49436,chr11,23752836,23752837
49618,chr11,31827100,31827101
49683,chr11,32355250,32355251
51008,chr11,46369240,46369241
51009,chr11,46369248,46369249
51010,chr11,46369254,46369255
51011,chr11,46369259,46369260
51013,chr11,46369271,46369272
51568,chr11,50227294,50227295
52731,chr11,63531191,63531192
52733,chr11,63531203,63531204
53855,chr11,65305947,65305948
54032,chr11,65353035,65353036
54473,chr11,65816600,65816601
55274,chr11,67188898,67188899
56863,chr11,75139487,75139488
56869,chr11,75139534,75139535
56870,chr11,75139544,75139545
57130,chr11,76494049,76494050
57440,chr11,78497091,78497092
58885,chr11,111250129,111250130
58886,chr11,111250131,111250132
58896,chr11,111383558,111383559
58898,chr11,111383583,111383584
59060,chr11,113185132,113185133
59447,chr11,117668095,117668096
60867,chr11,126978395,126978396
61457,chr11,132812633,132812634
62735,chr12,4433835,4433836
62870,chr12,6178606,6178607
63073,chr12,6876625,6876626
64296,chr12,26348983,26348984
64608,chr12,29542574,29542575
64609,chr12,29542586,29542587
64610,chr12,29542590,29542591
64997,chr12,34362436,34362437
65012,chr12,38724336,38724337
67189,chr12,53068991,53068992
67196,chr12,53069198,53069199
67198,chr12,53069266,53069267
67199,chr12,53069270,53069271
67201,chr12,53069276,53069277
67202,chr12,53069279,53069280
67646,chr12,54576379,54576380
69509,chr12,72667526,72667527
70523,chr12,96183508,96183509
70524,chr12,96183525,96183526
72597,chr12,113795614,113795615
72695,chr12,114204047,114204048
72916,chr12,117103629,117103630
72917,chr12,117103632,117103633
75742,chr12,130647289,130647290
77180,chr13,21676104,21676105
77182,chr13,21676139,21676140
77183,chr13,21676167,21676168
78473,chr13,30690572,30690573
78862,chr13,33590907,33590908
79850,chr13,48894474,48894475
82683,chr13,107187342,107187343
84277,chr14,20684591,20684592
84354,chr14,21560028,21560029
84924,chr14,24839756,24839757
87285,chr14,57272053,57272054
88921,chr14,70701025,70701026
90369,chr14,88790328,88790329
90803,chr14,91278940,91278941
90874,chr14,91723888,91723889
90875,chr14,91723906,91723907
90876,chr14,91730362,91730363
91107,chr14,93206990,93206991
91489,chr14,95982958,95982959
93311,chr14,103673774,103673775
93312,chr14,103673776,103673777
93649,chr14,104394495,104394496
93668,chr14,104394944,104394945
94523,chr14,105888808,105888809
94660,chr14,106938234,106938235
94694,chr15,20500588,20500589
94806,chr15,23032853,23032854
95182,chr15,27884902,27884903
96043,chr15,34628715,34628716
96263,chr15,35413899,35413900
97035,chr15,41795066,41795067
97036,chr15,41795074,41795075
97467,chr15,45422292,45422293
100303,chr15,67073365,67073366
105205,chr15,96864261,96864262
105927,chr15,101420807,101420808
105928,chr15,101420818,101420819
107127,chr16,822826,822827
107135,chr16,850567,850568
107261,chr16,1205676,1205677
108009,chr16,2141754,2141755
108557,chr16,2802100,2802101
108558,chr16,2802109,2802110
108623,chr16,2960065,2960066
109285,chr16,4356802,4356803
110403,chr16,14395631,14395632
110920,chr16,21308607,21308608
110921,chr16,21308638,21308639
111948,chr16,28332375,28332376
111958,chr16,28566001,28566002
112226,chr16,29820434,29820435
112583,chr16,30485399,30485400
112777,chr16,30795743,30795744
112857,chr16,30918989,30918990
113249,chr16,33961668,33961669
113314,chr16,33965583,33965584
113808,chr16,48985820,48985821
113813,chr16,49311461,49311462
113838,chr16,49314813,49314814
114470,chr16,53538754,53538755
115067,chr16,57831829,57831830
115069,chr16,57831841,57831842
115070,chr16,57831904,57831905
117159,chr16,74441078,74441079
117849,chr16,82045154,82045155
117850,chr16,82045156,82045157
118465,chr16,85210235,85210236
118703,chr16,85936631,85936632
118704,chr16,85936643,85936644
119164,chr16,87637982,87637983
119166,chr16,87638037,87638038
119195,chr16,87898101,87898102
119446,chr16,88633949,88633950
120686,chr17,1106997,1106998
120759,chr17,1162810,1162811
120767,chr17,1171458,1171459
120935,chr17,1465264,1465265
125089,chr17,19249812,19249813
125553,chr17,21561512,21561513
126053,chr17,27331556,27331557
126778,chr17,30332952,30332953
127160,chr17,31617658,31617659
129374,chr17,41278581,41278582
129375,chr17,41278593,41278594
129376,chr17,41278637,41278638
129377,chr17,41278645,41278646
129378,chr17,41278652,41278653
129379,chr17,41278655,41278656
129400,chr17,41400991,41400992
129401,chr17,41401001,41401002
129402,chr17,41401006,41401007
129403,chr17,41401091,41401092
130997,chr17,46667076,46667077
130998,chr17,46667105,46667106
131254,chr17,47210096,47210097
131255,chr17,47210099,47210100
131256,chr17,47210118,47210119
131257,chr17,47210127,47210128
133999,chr17,65820433,65820434
134593,chr17,71948512,71948513
135797,chr17,74534725,74534726
137351,chr17,78973667,78973668
138571,chr17,80144969,80144970
144299,chr18,54806748,54806749
145964,chr18,74499640,74499641
145966,chr18,74499670,74499671
146769,chr18,77749260,77749261
147357,chr19,646507,646508
147537,chr19,720941,720942
147872,chr19,1105187,1105188
147877,chr19,1105213,1105214
147878,chr19,1105215,1105216
148094,chr19,1235041,1235042
148095,chr19,1235044,1235045
148097,chr19,1235132,1235133
148158,chr19,1242157,1242158
148955,chr19,1729912,1729913
149271,chr19,1911974,1911975
149650,chr19,2299957,2299958
149651,chr19,2299967,2299968
149677,chr19,2307632,2307633
151618,chr19,6269655,6269656
151665,chr19,6530791,6530792
152799,chr19,10406958,10406959
153047,chr19,10979991,10979992
153480,chr19,12306071,12306072
153481,chr19,12306084,12306085
153484,chr19,12306136,12306137
155135,chr19,15568387,15568388
155207,chr19,16199541,16199542
156062,chr19,18280215,18280216
156063,chr19,18280375,18280376
156446,chr19,18942960,18942961
156448,chr19,18942965,18942966
156449,chr19,18942968,18942969
156450,chr19,18942974,18942975
157057,chr19,29284741,29284742
157062,chr19,29284777,29284778
157117,chr19,30020246,30020247
158902,chr19,36435843,36435844
159112,chr19,37340996,37340997
159590,chr19,39574972,39574973
159794,chr19,40419786,40419787
161116,chr19,45927585,45927586
161390,chr19,46387860,46387861
162207,chr19,48697626,48697627
162402,chr19,49232643,49232644
163228,chr19,52801742,52801743
163546,chr19,54487075,54487076
164078,chr19,56108993,56108994
165245,chr2,468303,468304
165247,chr2,468315,468316
165248,chr2,468319,468320
165249,chr2,468328,468329
165250,chr2,468330,468331
165251,chr2,468352,468353
166109,chr2,10219435,10219436
167847,chr2,25384307,25384308
167865,chr2,25427325,25427326
167872,chr2,25427372,25427373
170101,chr2,43019685,43019686
174813,chr2,89220227,89220228
174894,chr2,91776306,91776307
174895,chr2,91776310,91776311
176394,chr2,105495765,105495766
177299,chr2,113993038,113993039
177300,chr2,113993046,113993047
177312,chr2,114033571,114033572
179075,chr2,131595183,131595184
181220,chr2,172965046,172965047
181258,chr2,173037532,173037533
181986,chr2,177052519,177052520
185127,chr2,220348523,220348524
185262,chr2,220615937,220615938
187142,chr2,235861583,235861584
187488,chr2,237476863,237476864
187625,chr2,238705278,238705279
187883,chr2,239147490,239147491
188067,chr2,239757901,239757902
189513,chr20,642964,642965
191266,chr20,10774509,10774510
191267,chr20,10774514,10774515
191637,chr20,17950611,17950612
191803,chr20,19738286,19738287
192233,chr20,22557560,22557561
192708,chr20,26062685,26062686
192751,chr20,29518362,29518363
192753,chr20,29518368,29518369
192756,chr20,29519350,29519351
193595,chr20,32668796,32668797
193714,chr20,33146521,33146522
193715,chr20,33146525,33146526
193716,chr20,33146537,33146538
193717,chr20,33146543,33146544
193718,chr20,33146549,33146550
194654,chr20,37359326,37359327
195104,chr20,42744553,42744554
198776,chr20,62129062,62129063
198856,chr20,62272782,62272783
198857,chr20,62272798,62272799
199266,chr20,62598929,62598930
199609,chr21,9880241,9880242
199621,chr21,10599597,10599598
199656,chr21,10991005,10991006
200342,chr21,33245670,33245671
202891,chr21,45575573,45575574
203498,chr21,47517783,47517784
203501,chr21,47517802,47517803
203526,chr21,47566113,47566114
203562,chr21,47721745,47721746
205538,chr22,23423393,23423394
205548,chr22,23522229,23522230
205886,chr22,25678890,25678891
205961,chr22,25816732,25816733
205964,chr22,25816756,25816757
206584,chr22,30115366,30115367
211118,chr22,46460458,46460459
211119,chr22,46460463,46460464
211120,chr22,46460465,46460466
211121,chr22,46460468,46460469
211122,chr22,46460470,46460471
211123,chr22,46460482,46460483
211271,chr22,46469942,46469943
211888,chr22,50120643,50120644
212337,chr22,50623767,50623768
212340,chr22,50623801,50623802
212341,chr22,50623818,50623819
212706,chr22,50985763,50985764
213062,chr22,51169838,51169839
213065,chr22,51169916,51169917
213248,chr3,4909489,4909490
213249,chr3,4909491,4909492
213250,chr3,4909509,4909510
215530,chr3,32861301,32861302
215531,chr3,32861318,32861319
215532,chr3,32861346,32861347
215533,chr3,32861350,32861351
215534,chr3,32861361,32861362
215535,chr3,32861364,32861365
219912,chr3,66550579,66550580
220488,chr3,73673982,73673983
222446,chr3,125899901,125899902
223006,chr3,127842746,127842747
223739,chr3,134032331,134032332
225687,chr3,156544245,156544246
226057,chr3,160292128,160292129
226953,chr3,179754581,179754582
226957,chr3,179754613,179754614
226958,chr3,179754615,179754616
226959,chr3,179754626,179754627
227013,chr3,180546903,180546904
229612,chr4,53286,53287
232127,chr4,6611128,6611129
232174,chr4,6667751,6667752
232408,chr4,7047955,7047956
234683,chr4,42658479,42658480
234954,chr4,48491941,48491942
238265,chr4,111554966,111554967
238438,chr4,115391492,115391493
238654,chr4,121992797,121992798
238658,chr4,121992860,121992861
238670,chr4,122301724,122301725
239362,chr4,140036121,140036122
240008,chr4,147108115,147108116
240820,chr4,160860970,160860971
241206,chr4,171964526,171964527
242313,chr4,185940923,185940924
242326,chr4,185942474,185942475
243313,chr5,784673,784674
243434,chr5,1319283,1319284
243660,chr5,1887536,1887537
245045,chr5,17218089,17218090
248051,chr5,75378792,75378793
248053,chr5,75378813,75378814
249079,chr5,87504293,87504294
249187,chr5,90143516,90143517
249664,chr5,100024811,100024812
249669,chr5,101490906,101490907
249670,chr5,101490924,101490925
249962,chr5,108823625,108823626
252990,chr5,140683436,140683437
253472,chr5,148737968,148737969
253793,chr5,151093534,151093535
254480,chr5,167719687,167719688
255299,chr5,175080583,175080584
255350,chr5,175621277,175621278
256187,chr5,177398022,177398023
257882,chr6,1393272,1393273
258229,chr6,2999638,2999639
258990,chr6,7315483,7315484
258991,chr6,7315485,7315486
258994,chr6,7315513,7315514
260973,chr6,26521696,26521697
260974,chr6,26521718,26521719
261485,chr6,34361405,34361406
262499,chr6,41376672,41376673
262508,chr6,41376990,41376991
262668,chr6,41651255,41651256
262670,chr6,41651261,41651262
262796,chr6,41774513,41774514
264761,chr6,78172292,78172293
267706,chr6,127441704,127441705
267707,chr6,127441719,127441720
267760,chr6,127796348,127796349
268054,chr6,132270548,132270549
271491,chr6,166582855,166582856
271991,chr6,169653419,169653420
272005,chr6,170097618,170097619
272110,chr6,170402599,170402600
272318,chr7,159931,159932
272802,chr7,1198544,1198545
273120,chr7,1659251,1659252
273121,chr7,1659255,1659256
273123,chr7,1659275,1659276
273185,chr7,1707956,1707957
273509,chr7,2670029,2670030
273732,chr7,4132220,4132221
273738,chr7,4535494,4535495
274627,chr7,6463996,6463997
276666,chr7,29845979,29845980
277054,chr7,32338219,32338220
277055,chr7,32338227,32338228
277056,chr7,32338284,32338285
277057,chr7,32338299,32338300
277504,chr7,37531764,37531765
277842,chr7,43485108,43485109
278276,chr7,45960752,45960753
278377,chr7,48075568,48075569
278498,chr7,49813963,49813964
278865,chr7,54732008,54732009
282109,chr7,99517369,99517370
282769,chr7,100807503,100807504
282770,chr7,100807505,100807506
282771,chr7,100807512,100807513
282835,chr7,100943683,100943684
283161,chr7,101961742,101961743
283162,chr7,101961750,101961751
283163,chr7,101961753,101961754
283164,chr7,101961769,101961770
283927,chr7,114562327,114562328
284143,chr7,117513382,117513383
284734,chr7,127881208,127881209
285348,chr7,130418005,130418006
290036,chr8,876927,876928
290089,chr8,1321546,1321547
290090,chr8,1321561,1321562
290091,chr8,1321567,1321568
290092,chr8,1321573,1321574
290104,chr8,1449132,1449133
291018,chr8,11537774,11537775
291904,chr8,21882587,21882588
295694,chr8,57033880,57033881
295833,chr8,59231131,59231132
298613,chr8,97506232,97506233
299006,chr8,99984702,99984703
301218,chr8,140718876,140718877
301512,chr8,142317413,142317414
301941,chr8,144240999,144241000
302041,chr8,144403236,144403237
302051,chr8,144403402,144403403
302079,chr8,144442151,144442152
303139,chr8,145732225,145732226
303298,chr8,145938602,145938603
304425,chr9,14313355,14313356
305818,chr9,35828828,35828829
306027,chr9,36819155,36819156
306185,chr9,37750633,37750634
306474,chr9,45357084,45357085
306475,chr9,45357100,45357101
306488,chr9,66458374,66458375
306489,chr9,66458378,66458379
306490,chr9,66458382,66458383
306496,chr9,66493364,66493365
306497,chr9,66493372,66493373
306498,chr9,66493375,66493376
306499,chr9,66493388,66493389
306556,chr9,68412612,68412613
306558,chr9,68413653,68413654
307135,chr9,78507381,78507382
307234,chr9,79634253,79634254
310247,chr9,101471890,101471891
310248,chr9,101471899,101471900
310966,chr9,110250717,110250718
311028,chr9,111157151,111157152
311842,chr9,116917075,116917076
311869,chr9,116932649,116932650
312782,chr9,126778186,126778187
312862,chr9,127215857,127215858
312868,chr9,127215911,127215912
312870,chr9,127215940,127215941
312960,chr9,127268040,127268041
312993,chr9,127615910,127615911
313841,chr9,130830247,130830248
314574,chr9,132146288,132146289
314575,chr9,132146293,132146294
314576,chr9,132146305,132146306
314577,chr9,132146307,132146308
315972,chr9,136224459,136224460
316898,chr9,138987804,138987805
317225,chr9,139604635,139604636
318733,chrX,16737830,16737831
318737,chrX,16737844,16737845
318738,chrX,16737854,16737855
318783,chrX,18372250,18372251
318802,chrX,18372930,18372931
318876,chrX,20009263,20009264
318893,chrX,20286506,20286507
318894,chrX,20286535,20286536
318898,chrX,21392230,21392231
318910,chrX,21392302,21392303
318911,chrX,21392306,21392307
318912,chrX,21392318,21392319
318913,chrX,21392324,21392325
318966,chrX,23352815,23352816
318968,chrX,23352820,23352821
318969,chrX,23352830,23352831
318972,chrX,23352850,23352851
319011,chrX,24483046,24483047
319014,chrX,24483077,24483078
319053,chrX,34675865,34675866
319060,chrX,37431388,37431389
319061,chrX,37431394,37431395
319092,chrX,39681495,39681496
319150,chrX,41782267,41782268
319195,chrX,46772833,46772834
319196,chrX,46772839,46772840
319197,chrX,46772842,46772843
319200,chrX,46772853,46772854
319201,chrX,46772858,46772859
319236,chrX,48554729,48554730
319260,chrX,48814608,48814609
319297,chrX,49056839,49056840
319343,chrX,54522214,54522215
319344,chrX,54522218,54522219
319345,chrX,54522221,54522222
319346,chrX,54522232,54522233
319359,chrX,56590139,56590140
319361,chrX,57936138,57936139
319363,chrX,57936149,57936150
319389,chrX,64887729,64887730
319390,chrX,64887739,64887740
319391,chrX,64887745,64887746
319409,chrX,67653182,67653183
319442,chrX,69672572,69672573
319469,chrX,71351465,71351466
319472,chrX,71351478,71351479
319530,chrX,100075324,100075325
319531,chrX,100075328,100075329
319722,chrX,118602304,118602305
319724,chrX,118602313,118602314
319725,chrX,118602316,118602317
319738,chrX,122866917,122866918
319777,chrX,129116344,129116345
319784,chrX,129117480,129117481
319793,chrX,129194531,129194532
319795,chrX,129194545,129194546
319796,chrX,129194547,129194548
319797,chrX,129194551,129194552
319798,chrX,129194553,129194554
319799,chrX,129194557,129194558
319800,chrX,129194563,129194564
319833,chrX,131157576,131157577
319834,chrX,131157594,131157595
319939,chrX,136116030,136116031
320010,chrX,144899884,144899885
320267,chrX,153362179,153362180
320284,chrX,153664924,153664925
320286,chrX,153664953,153664954
320311,chrX,153672702,153672703
320316,chrX,153672748,153672749
320352,chrX,153718655,153718656
320366,chrX,153775683,153775684
320367,chrX,153775691,153775692
320368,chrX,153775693,153775694
320369,chrX,153775711,153775712
320406,chrX,154255446,154255447
320475,chrY,13463675,13463676
320481,chrY,13470569,13470570
320482,chrY,13470616,13470617
320483,chrY,13470620,13470621
320484,chrY,13470632,13470633
320485,chrY,13470634,13470635
320486,chrY,13470642,13470643
320518,chrY,13478444,13478445
320525,chrY,13488182,13488183
320526,chrY,13488292,13488293
320528,chrY,13488303,13488304
320530,chrY,13488312,13488313
320543,chrY,13489239,13489240
321402,chr1,1859904,1859905
321604,chr1,2399796,2399797
321619,chr1,2433919,2433920
321703,chr1,2496714,2496715
321721,chr1,2526785,2526786
321837,chr1,3017460,3017461
321838,chr1,3017484,3017485
321882,chr1,3137904,3137905
323143,chr1,22965340,22965341
323363,chr1,25856787,25856788
323428,chr1,26589931,26589932
323787,chr1,33358774,33358775
323790,chr1,33358791,33358792
323921,chr1,38096049,38096050
324355,chr1,46955614,46955615
324356,chr1,46955616,46955617
324394,chr1,47915736,47915737
324401,chr1,47999500,47999501
324512,chr1,53973100,53973101
325231,chr1,115323255,115323256
325232,chr1,115323267,115323268
325233,chr1,115323269,115323270
325235,chr1,115323312,115323313
325349,chr1,146556806,146556807
325494,chr1,152085380,152085381
326073,chr1,178475530,178475531
326098,chr1,180182696,180182697
326099,chr1,180182711,180182712
326289,chr1,201221547,201221548
327012,chr1,235054864,235054865
327089,chr1,237256256,237256257
327331,chr10,1531498,1531499
327332,chr10,1531529,1531530
327400,chr10,3921529,3921530
327461,chr10,6078864,6078865
328463,chr10,74100863,74100864
328464,chr10,74100866,74100867
328465,chr10,74100894,74100895
328549,chr10,77159511,77159512
328824,chr10,96144862,96144863
329377,chr10,116061880,116061881
329471,chr10,121077007,121077008
329884,chr10,131989080,131989081
329885,chr10,131989095,131989096
329886,chr10,131989110,131989111
330157,chr10,134735479,134735480
330159,chr10,134735541,134735542
330899,chr11,1051005,1051006
331205,chr11,2481370,2481371
331393,chr11,7678129,7678130
332136,chr11,57097739,57097740
332334,chr11,61496648,61496649
332335,chr11,61496669,61496670
