"","Chr","Start","End","SYMBOL","Spearman.Correlation","Spearman.P.value"
"1","chr4",171010812,171010813,"AADAT",-0.366368639013087,1.49015879038534e-07
"2","chr12",22094174,22094175,"ABCC9",-0.218128507644662,0.00224743861798551
"3","chr14",74744713,74744714,"ABCD4",0.319621566746794,5.5518428327863e-06
"4","chr4",89123811,89123812,"ABCG2",0.200470507694941,0.00506775698089724
"5","chr14",23093998,23093999,"ABHD4",0.274514383543526,0.000107277707553384
"6","chr4",7969328,7969329,"ABLIM2",0.289337323853832,4.27991634096463e-05
"7","chr1",1248215,1248216,"ACAP3",0.265674567879386,0.000181103708984742
"8","chr2",237476863,237476864,"ACKR3",-0.205126288782882,0.00411526391215666
"9","chr1",55050387,55050388,"ACOT11",0.238377314143731,0.000816505137285335
"10","chr5",80690225,80690226,"ACOT12",-0.317817931290075,6.31018558906888e-06
"11","chrX",23761156,23761157,"ACOT9",0.207972099666534,0.00361566150014132
"12","chr19",39574972,39574973,"ACP7",-0.31156996762636,9.77009368657493e-06
"13","chr22",51169838,51169839,"ACR",0.33560417343562,1.72108338102154e-06
"14","chr16",89199951,89199952,"ACSF3",0.340883638870801,1.15185372514065e-06
"15","chr9",111157151,111157152,"ACTL7B",0.289034049676143,4.3634135476692e-05
"16","chr1",18146090,18146091,"ACTL8",0.334452920016379,1.87675184022693e-06
"17","chr14",70701025,70701026,"ADAM21P1",0.296413416669884,2.70975256099495e-05
"18","chr10",135095735,135095736,"ADAM8",0.362280034060678,2.09409897093888e-07
"19","chr9",136301722,136301723,"ADAMTS13",0.227281872558998,0.00143743778871217
"20","chr15",100663758,100663759,"ADAMTS17",0.268808423594481,0.000150728626211108
"21","chr12",43946278,43946279,"ADAMTS20",-0.299841281404645,2.16210494110507e-05
"22","chr4",73434904,73434905,"ADAMTS3",-0.405457851952329,4.49885538717262e-09
"23","chr3",64672139,64672140,"ADAMTS9",-0.291997021280284,3.6094108275921e-05
"24","chr3",64671088,64671089,"ADAMTS9-AS2",-0.232953859145661,0.00108007255501181
"25","chr7",960137,960138,"ADAP1",0.255441150041457,0.000324750249564802
"26","chr10",1749360,1749361,"ADARB2",0.368901962941026,1.20404282113883e-07
"27","chr10",1498579,1498580,"ADARB2-AS1",0.307881845300345,1.25884724345899e-05
"28","chr19",1911974,1911975,"ADAT3",0.362556405297891,2.04679161114792e-07
"29","chr18",1126120,1126121,"ADCYAP1",0.26151029927842,0.000230341481329563
"30","chr4",2852175,2852176,"ADD1",0.307797786324212,1.26609028150654e-05
"31","chr8",143573114,143573115,"ADGRB1",0.310414379390228,1.05814837242305e-05
"32","chr1",32198487,32198488,"ADGRB2",0.29438428250655,3.09306276367272e-05
"33","chr12",131495868,131495869,"ADGRD1",0.21937491393553,0.00211692903790113
"34","chr9",127215940,127215941,"ADGRD2",-0.226519657454132,0.00149294722267525
"35","chr19",6997882,6997883,"ADGRE4P",-0.265513234049359,0.000182812399804998
"36","chr6",46821637,46821638,"ADGRF5",0.269574278262683,0.00014406630381995
"37","chr4",62068185,62068186,"ADGRL3",-0.322919438211934,4.38362720914956e-06
"38","chr5",90143516,90143517,"ADGRV1",0.222976532944744,0.00177761220564379
"39","chr13",114061833,114061834,"ADPRHL1",0.275427898323987,0.000101522354506141
