# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20291	SLC9B1P1	1	9.244792e-41	1.714816e-36	1.714816e-36	2.745398e+1	1.384134e+0	38	4.613782e-4	1.266667e-2	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC9B1P1
Ensembl Genes	8848	CHMP6	2	1.210398e-23	2.245167e-19	1.122584e-19	3.745010e+1	5.073418e-1	19	1.691139e-4	6.333333e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CHMP6
Ensembl Genes	2273	GPRIN2	3	3.855490e-23	7.151548e-19	2.383849e-19	1.203594e+2	1.080099e-1	13	3.600330e-5	4.333333e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	GPRIN2
Ensembl Genes	8847	RPTOR	4	9.722266e-22	1.803383e-17	4.508458e-18	3.398035e+1	5.297179e-1	18	1.765726e-4	6.000000e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	RPTOR
Ensembl Genes	18862	SPATA31A7	5	4.169363e-20	7.733751e-16	1.546750e-16	2.138692e+1	9.351508e-1	20	3.117169e-4	6.666667e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SPATA31A7
Ensembl Genes	236	NBPF1	6	7.184486e-20	1.332650e-15	2.221084e-16	3.594730e+1	4.450960e-1	16	1.483653e-4	5.333333e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	NBPF1
Ensembl Genes	239	CROCC	7	5.530832e-17	1.025914e-12	1.465591e-13	3.982418e+1	3.264348e-1	13	1.088116e-4	4.333333e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CROCC
Ensembl Genes	20071	BCORL1	8	7.926581e-16	1.470302e-11	1.837877e-12	5.185858e+1	2.121153e-1	11	7.070511e-5	3.666667e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	BCORL1
Ensembl Genes	1136	HIST2H3PS2	9	3.978586e-14	7.379879e-10	8.199866e-11	1.998626e+1	7.004811e-1	14	2.334937e-4	4.666667e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	HIST2H3PS2
Ensembl Genes	1135	NBPF16	10	1.488848e-13	2.761664e-9	2.761664e-10	1.810080e+1	7.734463e-1	14	2.578154e-4	4.666667e-3	1	1.574748e-1	1.000000e+0	1.000000e+0	6.350223e+0	1.574748e-1	1	1	3.423485e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	NBPF16
