,Chr,Start,End,Pearson Correlation,Pearson P-value,Spearman Correlation,Spearman P-value,Kendall Correlation,Kendall P-value
0,chr1,10497,10498,0.29935560018787377,2.232775622816532e-05,0.32198633973633206,4.6879920105193204e-06,0.21637105559872577,1.2610695385027357e-05
1,chr1,1539857,1539858,0.3391183009069867,1.318477725753242e-06,0.3314468853893208,2.348999020111133e-06,0.21854307769095715,8.025299769421891e-06
2,chr1,6682929,6682930,0.27666239626598177,9.420317151522245e-05,0.23870119117491334,0.0008028167463311704,0.15276630293663315,0.0019551677212753687
3,chr1,16011487,16011488,-0.10411263188094372,0.14854813014185853,-0.20396303142341377,0.004336784089283982,-0.1573417521240649,0.0031482215502191256
4,chr1,16862396,16862397,0.2349005350028257,0.0009775981901671263,0.21164303587820568,0.003052226956786203,0.14327347827183207,0.003491357493861517
5,chr1,16862416,16862417,0.2252078615709445,0.0015930879430903903,0.2098102440904196,0.0033227588001931716,0.14048612331037502,0.0042203594394452214
6,chr1,16862425,16862426,0.22995337683539055,0.0012574526762572631,0.22337041715059458,0.0017436849823956823,0.15086883820353703,0.0021075989580802163
7,chr1,17019621,17019622,-0.13870576135520063,0.05375615329887569,-0.1806089843197412,0.011732343082818866,-0.12602550030645024,0.01010528039258171
8,chr1,17034683,17034684,0.06692888315476785,0.35380856177975856,0.11470281125816971,0.11125861900138768,0.06753036537717295,0.16660093162097678
9,chr1,19991678,19991679,-0.15960463152000814,0.026219958126025258,-0.14185048460352867,0.04849916519470883,-0.10195805025429175,0.03688288659128689
10,chr1,32023614,32023615,0.2573910247838935,0.0002910810317439316,0.29999510819518665,2.1401659829140786e-05,0.19627477852835906,6.352305937717777e-05
11,chr1,32023635,32023636,0.25661770977998344,0.0003040259173640835,0.28023770665080383,7.569730250664903e-05,0.1829551244816507,0.0001913282116523785
12,chr1,33720973,33720974,0.3280314842489627,3.022644749147119e-06,0.31940196668000237,5.63931718184257e-06,0.21197075673979499,1.4868016581522375e-05
13,chr1,35351568,35351569,-0.2340007387319957,0.0010237997635670637,-0.16971732547643087,0.017991105284466156,-0.11818557019366073,0.01625437588888136
14,chr1,35351572,35351573,-0.22634933031409177,0.0015056163882613408,-0.17916527069113694,0.012432804322677262,-0.12469927732063518,0.010982872167416084
15,chr1,35351579,35351580,-0.249494245828928,0.00045108244819606924,-0.22751440223596134,0.0014208831231934374,-0.16143902952301523,0.0010157465284178439
16,chr1,35351581,35351582,-0.25580013627299275,0.0003182918978858152,-0.2117799098244318,0.0030328463685170546,-0.153489557290693,0.0018805523136133698
17,chr1,36039923,36039924,0.18337747480371605,0.010485689606733366,0.19728213895442134,0.005829597955778683,0.12812335249397394,0.009339010110006627
18,chr1,36785331,36785332,0.25873009308344513,0.00026987006611588904,0.21248521356967015,0.002934733473722722,0.14322043128273126,0.0036803186455531744
19,chr1,38510698,38510699,-0.057109377477125876,0.4289750055168132,-0.027457907626309223,0.7039123592676442,-0.0195458125781203,0.6887361171587923
20,chr1,38510708,38510709,-0.1251742977943582,0.08202499677415666,-0.0621798123949286,0.3890720367193886,-0.044991400712786955,0.3566504764046158
21,chr1,47909782,47909783,0.1926893409797738,0.007107169502002799,0.1459312296067469,0.04232266736952838,0.09153173769876756,0.06100228144092395
22,chr1,51717085,51717086,0.3113820838661327,9.897873480655202e-06,0.33820221137660106,1.4137712778917434e-06,0.21796760751742664,9.598275053389545e-06
23,chr1,54203814,54203815,-0.25265797520158184,0.0003791066177718118,-0.2538023454782323,0.00035580845690613244,-0.1785232920896597,0.00026459847395401693
24,chr1,54203821,54203822,-0.24634027061520966,0.0005352568166381641,-0.2343096288388405,0.0010077179596122059,-0.16854770203186437,0.0005986017280110939
25,chr1,54203828,54203829,-0.2557460029375233,0.0003192580867459874,-0.2705859581132358,0.00013568676379702036,-0.18619142248937265,0.00015793563640216984
26,chr1,61549982,61549983,0.007770278219672376,0.9143687995241094,0.00687152409005894,0.924241865413464,0.0040137260315768804,0.9347183665813924
27,chr1,62660871,62660872,-0.1152794182634821,0.10946092642699826,-0.09046279652752634,0.2096850680438371,-0.06422285405952773,0.18827465556451528
28,chr1,91172930,91172931,-0.25111501355296556,0.00041276285562424724,-0.30204849841542053,1.8667281087431447e-05,-0.22108817967171968,1.5340754066285232e-05
29,chr1,91172936,91172937,-0.25887547761551777,0.00026765577672305203,-0.30019418180058394,2.1120858823051566e-05,-0.2196489838417114,1.5812939599235253e-05
30,chr1,148901932,148901933,-0.13095538006279794,0.06875051088002165,-0.08387749971696419,0.24491931999853217,-0.05742607244301894,0.23990863045666844
31,chr1,148901940,148901941,-0.15610756965384442,0.02973376235652481,-0.06878107888328362,0.3406166475975094,-0.04265485545959623,0.38260905376649834
32,chr1,149284535,149284536,0.34753355464681823,6.872387133018094e-07,0.3644501101094877,1.749142554494593e-07,0.2499331567793193,3.6012728881846686e-07
33,chr1,149333181,149333182,-0.009123218419813547,0.8995315356033085,0.06302617454276989,0.3826367555435687,0.03864909504968604,0.42882046166413346
34,chr1,149333192,149333193,-0.024210135712924588,0.7375661780026717,0.0517687281843323,0.47345059806119927,0.03318423873181692,0.4968580033641029
35,chr1,149333199,149333200,0.028742932464944543,0.69074980054258,0.10337567903402214,0.1514588911135924,0.06979393966836339,0.15311653592822638
36,chr1,154301889,154301890,0.33238352311948893,2.1908931491851657e-06,0.32182966953530073,4.741025390241778e-06,0.212255611065143,1.54630062647947e-05
37,chr1,155035008,155035009,0.31499378958896435,7.698191800065147e-06,0.3128480957757842,8.941443215780588e-06,0.20692685272817013,2.274888763862716e-05
38,chr1,156358562,156358563,0.029748175084470974,0.6805171057584098,0.07934432033949008,0.2714491981279396,0.05042897359520921,0.30235804918905795
39,chr1,156646945,156646946,-0.1997898457774549,0.005222459186177456,-0.23319864730122186,0.00106666594199263,-0.17277328220415006,0.00042397464905858534
40,chr1,166853787,166853788,-0.13361825809206093,0.06325464483244084,-0.08041529585283194,0.26501189668107306,-0.05878000304906045,0.2286100991312655
41,chr1,166853789,166853790,-0.15725166746340857,0.028542396571389794,-0.10537115009245637,0.1436756079143608,-0.07286633279648697,0.13605177391743495
42,chr1,181130733,181130734,0.24355504418835353,0.0006214300010945304,0.23257339524770562,0.001101217100589755,0.15399515597953697,0.001658470190761466
43,chr1,185618478,185618479,0.295414705606233,2.8924393190506158e-05,0.32158358741585014,4.825477588531539e-06,0.2162641649772074,1.1665273333045111e-05
44,chr1,200839410,200839411,0.340152822726304,1.218236709451218e-06,0.3285794454441331,2.9034029067238546e-06,0.21953238809120731,6.854853442881629e-06
45,chr1,200843333,200843334,0.30651408755829457,1.3817228129966637e-05,0.3185638155185386,5.985363853325898e-06,0.21149636352172765,1.4832910250476168e-05
46,chr1,200843335,200843336,0.33895129106612765,1.3353807128429302e-06,0.34432500915063013,8.830240680527452e-07,0.22778555266160305,3.0969467671423793e-06
47,chr1,208084005,208084006,0.26684897794744583,0.00016910722233970493,0.19966111778608514,0.0052521882622506896,0.13899741578555175,0.006039937745166644
