"","Chr","Start","End","SYMBOL","Spearman.Correlation","Spearman.P.value"
"1","chr12",125670497,125670498,"AACS",0.310669430563941,0.159363392211897
"2","chr7",20708533,20708534,"ABCB5",0.264858515548736,0.16498159795835
"3","chr7",150732889,150732890,"ABCB8",0.425811417887669,0.0612179966390881
"4","chr7",150923971,150923972,"ABCF2",-0.361873432227873,0.0979452565721736
"5","chr3",183903799,183903800,"ABCF3",0.488845363938511,0.0179302797438563
"6","chr15",89631112,89631113,"ABHD2",0.388835450188652,0.0901918211955422
"7","chr2",204273751,204273752,"ABI2",-0.204665572255014,0.400626696175423
"8","chr1",179198592,179198593,"ABL2",0.605591784630157,0.00599911022879217
"9","chr3",127392139,127392140,"ABTB1",0.353815703025001,0.0976629077914822
"10","chr15",89346109,89346110,"ACAN",-0.488947434667613,0.0336345216988758
"11","chr1",180471910,180471911,"ACBD6",-0.415190878102415,0.0771090216141454
"12","chr7",100553234,100553235,"ACHE",-0.258264984364543,0.234108779416822
"13","chr1",159175154,159175155,"ACKR1",-0.315001777181366,0.164274810275449
"14","chr1",147142352,147142353,"ACP6",0.340535515875331,0.0957693268943162
"15","chr17",79480578,79480579,"ACTG1",0.41576935345604,0.0608587967834388
"16","chr3",179281142,179281143,"ACTL6A",0.462592444325807,0.0173342762143446
"17","chr14",69445199,69445200,"ACTN1",0.378391471232017,0.0999509115319562
"18","chr19",39139665,39139666,"ACTN4",0.344459495078884,0.126241574416943
"19","chr2",65455309,65455310,"ACTR2",0.219234019062281,0.353054058678939
"20","chr7",152457204,152457205,"ACTR3B",0.533107831278347,0.0187561519150572
"21","chr2",92100885,92100886,"ACTR3BP2",-0.73100737788654,7.42891656756446e-05
"22","chr10",39023627,39023628,"ACTR3BP5",0.250836003614302,0.248313245306764
"23","chr3",169487697,169487698,"ACTRT3",-0.525755849300878,0.0207787693496605
"24","chr11",67422651,67422652,"ACY3",0.240122584554097,0.218403596213817
"25","chr1",155023323,155023324,"ADAM15",-0.315631444932292,0.152456571155808
"26","chr2",207308771,207308772,"ADAM23",0.480371375466812,0.0236471967720027
"27","chr10",135094411,135094412,"ADAM8",-0.279391621703962,0.232883496536033
"28","chr21",28216657,28216658,"ADAMTS1",0.69791927700363,0.000891750965508669
"29","chr21",28339705,28339706,"ADAMTS5",0.210933723716747,0.386033821421676
"30","chr3",64431187,64431188,"ADAMTS9",0.319446877108923,0.158080936528785
"31","chr9",18777349,18777350,"ADAMTSL1",-0.246821640586415,0.280758059110125
"32","chr1",154618072,154618073,"ADAR",0.28671968766758,0.0899977605487712
"33","chr8",145607056,145607057,"ADCK5",0.410368982756749,0.030080322457293
"34","chr2",25142331,25142332,"ADCY3",-0.509983372434749,0.012916141061756
"35","chr8",143561114,143561115,"ADGRB1",-0.213559337182046,0.365962028901025
"36","chr2",26594303,26594304,"ADGRF3",0.337178591895202,0.0992998905867705
"37","chr16",57671546,57671547,"ADGRG1",-0.248242626599048,0.305476830164234
