# GREAT version 4.0.4	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
# Ontology summary statistics are provided in the footer.
#
# Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Regions	Genes
Ensembl Genes	20291	SLC9B1P1	1	4.690754e-35	8.700880e-31	8.700880e-31	2.456409e+1	1.384134e+0	34	4.613782e-4	1.133333e-2	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SLC9B1P1
Ensembl Genes	13166	PPARA	2	1.319679e-26	2.447873e-22	1.223936e-22	6.416372e+1	2.805323e-1	18	9.351078e-5	6.000000e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	PPARA
Ensembl Genes	13163	WNT7B	3	3.042833e-22	5.644151e-18	1.881384e-18	3.631000e+1	4.957312e-1	18	1.652437e-4	6.000000e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	WNT7B
Ensembl Genes	18862	SPATA31A7	4	1.840978e-21	3.414830e-17	8.537075e-18	2.245627e+1	9.351508e-1	21	3.117169e-4	7.000000e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	SPATA31A7
Ensembl Genes	2273	GPRIN2	5	4.661696e-21	8.646980e-17	1.729396e-17	1.111009e+2	1.080099e-1	12	3.600330e-5	4.000000e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	GPRIN2
Ensembl Genes	9187	ZNF236	6	3.378107e-17	6.266051e-13	1.044342e-13	2.416250e+1	6.621831e-1	16	2.207277e-4	5.333333e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	ZNF236
Ensembl Genes	236	NBPF1	7	8.817216e-17	1.635505e-12	2.336436e-13	3.145389e+1	4.450960e-1	14	1.483653e-4	4.666667e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	NBPF1
Ensembl Genes	10689	TMEM18	8	1.195958e-15	2.218382e-11	2.772978e-12	2.206956e+1	6.796692e-1	15	2.265564e-4	5.000000e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	TMEM18
Ensembl Genes	538	UTP11L	9	3.052871e-14	5.662770e-10	6.291967e-11	1.755260e+2	3.988014e-2	7	1.329338e-5	2.333333e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	UTP11L
Ensembl Genes	239	CROCC	10	8.190042e-14	1.519171e-9	1.519171e-10	3.369739e+1	3.264348e-1	11	1.088116e-4	3.666667e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	CROCC
Ensembl Genes	1136	HIST2H3PS2	11	8.012221e-13	1.486187e-8	1.351079e-9	1.855867e+1	7.004811e-1	13	2.334937e-4	4.333333e-3	1	1.650763e-1	1.000000e+0	1.000000e+0	6.057805e+0	1.650763e-1	1	1	3.265839e-4	1.000000e+0	unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed,unnamed	HIST2H3PS2
