,Chr,Start,End,Pearson Correlation,Pearson P-value,Spearman Correlation,Spearman P-value,Kendall Correlation,Kendall P-value
0,chr17,21904645,21904646,0.07431194776743363,0.7623883951869312,0.29969861482955057,0.21255632136391134,0.23942606534028665,0.1673614526007675
1,chr17,21904677,21904678,0.023858785922322927,0.9227653741325897,0.35076168467420055,0.14091479088015094,0.2524523336600344,0.14639751963085054
2,chr17,41400991,41400992,0.3295138249602601,0.16831249527419426,0.41002562569518847,0.08123958657286584,0.31496486811873514,0.07054313925230367
3,chr17,41401001,41401002,0.3895028442939912,0.09927157917154271,0.4396440063026957,0.05963421374133702,0.32346551598361056,0.060899629984443954
4,chr17,41401006,41401007,0.18894485149546286,0.43851920674902195,0.2753508691639298,0.25388110599631725,0.1903130262961253,0.2724208136752865
5,chr21,9825748,9825749,0.39061389168238564,0.0982270406262243,0.26272488907827085,0.2771790826693568,0.1769905653495228,0.3051185986266348
6,chr21,9825757,9825758,0.5029906606665109,0.028153935512334746,0.498911910572878,0.029668020898500853,0.3600842536421326,0.03694243066639619
7,chr21,9825769,9825770,-0.06583234682122371,0.788879857639695,-0.01326893379183186,0.9570041640051862,-0.006103122943086992,0.9717905215575257
8,chr21,9825786,9825787,-0.0985660729559339,0.6880875531887874,-0.22921080991857112,0.3452060554020001,-0.15914722159568503,0.35759436515613097
9,chr21,9825796,9825797,-0.09224844212121962,0.7072099123951292,-0.21018365774386344,0.3877643295440705,-0.14690512762678617,0.3957741274490475
10,chr21,9825798,9825799,-0.04555752396631376,0.8530764332857199,-0.12926439517020497,0.5979020119140683,-0.08594781832728238,0.6201432762248527
11,chr21,9825802,9825803,-0.09601303494176967,0.6957941044314159,-0.21593605258737972,0.3746028083337498,-0.14690512762678617,0.3957741274490475
12,chr21,9825846,9825847,0.26782079666674685,0.2676218969791941,0.26262838259065774,0.27736208813882596,0.19703596773466098,0.25697893404439365
13,chr21,9826226,9826227,0.26930134000187933,0.2648842747271836,0.27611495248878065,0.25251223957462005,0.22035769144017928,0.20273823736346197
14,chr21,9826239,9826240,0.3052605076082889,0.20377690010754448,0.372578189095438,0.11619257779101294,0.2693260673157747,0.11950536450250761
15,chr21,9826247,9826248,0.282908908199713,0.24054651225255433,0.4333281344473606,0.06382975433343116,0.3273164315743718,0.06030704425169757
16,chr21,9826251,9826252,0.3866967290946972,0.10194550882765427,0.4175291166496426,0.07529114796333766,0.32346551598361056,0.060899629984443954
17,chr21,9826255,9826256,0.45133334851645196,0.052421269569949955,0.5564566600306426,0.013346890548544682,0.42973909163641194,0.01320335993002783
18,chr21,9826258,9826259,0.21262561130008353,0.3821461692379007,0.33156666812973073,0.16551813943333016,0.2532070508405518,0.1459968828767294
19,chr21,9826272,9826273,-0.21131942606702328,0.38514562253609264,-0.14437917828761285,0.5553830802836537,-0.1231474798341631,0.47865012318612843
20,chr4,49099696,49099697,0.4267343192412091,0.06844208973682304,0.35819335048989287,0.13211431078911212,0.23058442746334187,0.18875889891294184
21,chr4,49099701,49099702,0.4079084770923623,0.08297890530843118,0.3717887649563076,0.11702900677662367,0.27337631063916945,0.11828829343016428
22,chr4,49105883,49105884,0.5006792025697787,0.02900436854559734,0.706309921014847,0.0007247186876623717,0.5546490282226332,0.0015776643947654665
23,chr4,49105918,49105919,-0.3771822862950638,0.1113991712595768,-0.2503358732048322,0.30128292108960925,-0.1869603465918988,0.286597357136534
24,chr4,49105933,49105934,0.4041978584268068,0.0860931640641327,0.11937649856786095,0.6264206547536675,0.06984162177776641,0.6947467378274512
