"","Chr","Start","End","SYMBOL","Spearman.Correlation","Spearman.P.value"
"1","chr2",92321714,92321715,"ACTR3BP2",-0.905010864582524,5.97450071965594e-07
"2","chr1",142536998,142536999,"ANKRD20A12P",-0.751117942639106,0.00195814851120128
"3","chr16",46413340,46413341,"ANKRD26P1",0.862356194012517,8.48548173992223e-06
"4","chr9",67320851,67320852,"AQP7P1",0.212217953249072,0.413513879636198
"5","chr21",11057988,11057989,"BAGE",-0.699399665140695,0.0243809763255052
"6","chr21",11088145,11088146,"BAGE3",-0.622903724321629,0.0731467277721639
"7","chr22",22636246,22636247,"BMS1P20",0.330960854092527,0.293349536894974
"8","chr12",2365136,2365137,"CACNA1C-IT3",0.434390741190342,0.105671300485535
"9","chr17",41400622,41400623,"CCDC200",0.803717815745349,0.000175983990312077
"10","chr12",28654747,28654748,"CCDC91",-0.27616590237356,0.411054832559397
"11","chr4",68265371,68265372,"CENPC",-0.981980506061966,1.44304499720937e-05
"12","chr4",49105883,49105884,"CWH43",0.706309921014847,0.000724718687662372
"13","chr22",18883817,18883818,"DGCR6",0.617142222612376,0.0325298631428403
"14","chr5",49439831,49439832,"EMB",-0.776088224914894,0.00830924920822416
"15","chr1",121481876,121481877,"EMBP1",0.711839363379311,0.00198088682247102
"16","chr6",145786677,145786678,"EPM2A",-0.543375539821396,0.163951508232715
"17","chr3",197895820,197895821,"FAM157A",0.642167957215833,0.00731393046614114
"18","chr7",24405,24406,"FAM20C",-0.739978707740565,0.0038293645609138
"19","chr17",21904645,21904646,"FLJ36000",0.90185746294458,0.00219272392215011
"20","chr4",190802469,190802470,"FRG1",-0.858879139714836,0.00070865043630718
"21","chr20",29601184,29601185,"FRG1BP",-0.366976338042553,0.266927282591241
"22","chr9",68425383,68425384,"FRG1JP",-0.732338893209212,0.0160164369178645
"23","chr5",99382628,99382629,"GUSBP19",0.411016687673175,0.209191063079191
"24","chr6",58778606,58778607,"GUSBP4",-0.604954604107417,0.0100863736703997
"25","chrY",13710027,13710028,"GYG2P1",0.803111139191614,0.00514501071533034
"26","chr19",24614336,24614337,"HAVCR1P1",-0.428245963354138,0.188826711808168
"27","chr11",93969200,93969201,"IZUMO1R",-0.618284022335312,0.102278532985927
"28","chr6",61914340,61914341,"KHDRBS2",-0.568074427995096,0.141828645707399
"29","chr16",33919296,33919297,"LINC00273",-0.571231278800572,0.0414284952870309
"30","chr8",46849757,46849758,"LINC00293",0.859364299371322,9.88030558661993e-06
"31","chr20",47132180,47132181,"LINC00494",0.248470933668405,0.488801446147231
"32","chr19",27732222,27732223,"LINC00662",-0.643963959336452,0.00527439924189653
"33","chr10",38817366,38817367,"LINC00999",0.603380898570245,0.0853837901003525
"34","chr5",17526731,17526732,"LINC02111",-0.511471004095403,0.0891937420979726
"35","chr9",66833945,66833946,"LOC286297",0.54013147775426,0.166987624732154
"36","chr10",42384939,42384940,"LOC441666",0.819763082067733,5.62535047068806e-05
"37","chr18",15169266,15169267,"LOC644669",-0.663891786731873,0.0511785254084301
"38","chr7",56439584,56439585,"LOC650226",0.60894092312237,0.0271818222622572
"39","chr2",91599430,91599431,"LSP1P4",0.692025571813828,0.00208354539417727
"40","chr21",9825920,9825921,"MIR3648-1",0.584474733213005,0.0137400552334109
"41","chr1",16891008,16891009,"MIR3675",0.618284022335312,0.102278532985927
"42","chr2",90371706,90371707,"MIR4436A",0.66709036005957,0.00344183489362615
"43","chr17",25301671,25301672,"MIR4522",-0.292518405243915,0.25455278479269
"44","chr20",29650513,29650514,"MLLT10P1",0.679128804361916,0.0307976412860583
"45","chr1",2629140,2629141,"MMEL1",-0.788009048074417,0.0201910386712151
"46","chr17",22253212,22253213,"MTRNR2L1",0.8226907966639,5.02036305791955e-05
"47","chr11",51591105,51591106,"OR4C46",-0.539730158096787,0.0253364974949816
"48","chr1",567312,567313,"OR4F29",-0.458410689165779,0.0856965806024825
"49","chr20",52858319,52858320,"PFDN4",0.357543908057933,0.209450088848521
"50","chr8",43794070,43794071,"POTEA",-0.697591461131365,0.00185050956220355
"51","chr2",162136335,162136336,"PSMD14",0.948131908575689,9.94447200592688e-05
"52","chr9",66470939,66470940,"PTGER4P2-CDK2AP2P2",0.408155314724136,0.11654318035809
"53","chr7",157941030,157941031,"PTPRN2-AS1",0.327662541095739,0.38936459548259
"54","chr8",86781931,86781932,"REXO1L1P",-0.609958116876877,0.012109841561956
"55","chr8",86557647,86557648,"REXO1L2P",0.738465034162282,0.014718875030216
"56","chr18",18513063,18513064,"ROCK1",0.784306999582313,0.000193692848332854
"57","chr18",110840,110841,"ROCK1P1",0.693617533487432,0.00855196704374166
"58","chr3",196625640,196625641,"SENP5",0.534246359051442,0.0271628107946394
"59","chr6",118448081,118448082,"SLC35F1",-0.69462323190969,0.055884725588007
"60","chr16",32851308,32851309,"SLC6A10P",0.457063816254226,0.184165507685764
"61","chrX",61714233,61714234,"SPIN4",-0.59506594596853,0.0150294203733151
"62","chr1",153115422,153115423,"SPRR2C",-0.271624634708667,0.347525269263401
"63","chrY",58863038,58863039,"SPRY3",0.796947131945548,0.00110688299460849
"64","chr21",10086567,10086568,"TEKT4P2",0.788358394478766,0.0067390940863469
"65","chr21",10714902,10714903,"TPTE",-0.600872925769174,0.0107444731146097
"66","chr1",114850729,114850730,"TRIM33",0.22666375263324,0.398570006478668
"67","chrY",10043077,10043078,"TTTY23",0.320545536424209,0.209697641897585
"68","chrY",28817443,28817444,"TTTY3",0.568064322047922,0.0428304870995689
"69","chr4",9273636,9273637,"USP17L20",-0.494607440665239,0.0608886433998553
"70","chr4",9326195,9326196,"USP17L27",-0.321085546258098,0.438063087017985
"71","chr7",61967468,61967469,"ZNF733P",-0.778329516236461,0.000233340977963262
"72","chrX",58566717,58566718,"ZXDA",-0.565217391304348,0.0886297270439778
"73","chr1",143283245,143283246,NA,0.915729116152572,0.00140317432489244
