"","Chr","Start","End","SYMBOL","Spearman.Correlation","Spearman.P.value"
"1","chr2",92321714,92321715,"ACTR3BP2",-0.920825666873642,2.28956629555486e-08
"2","chr1",142536998,142536999,"ANKRD20A12P",-0.807552222207316,2.90793888201477e-05
"3","chr16",46405578,46405579,"ANKRD26P1",0.811972656757873,2.42544016011301e-05
"4","chr21",11057742,11057743,"BAGE",-0.464174014680658,0.0452826668778912
"5","chr21",11150012,11150013,"BAGE3",0.56068723838073,0.0125168167864563
"6","chr12",2365136,2365137,"CACNA1C-IT3",0.202220655313858,0.406399178260063
"7","chr17",41400504,41400505,"CCDC200",0.47500238362202,0.0398624069734127
"8","chr4",68264833,68264834,"CENPC",-0.589076232209694,0.00795770320881354
"9","chr4",49105883,49105884,"CWH43",0.706309921014847,0.000724718687662372
"10","chr22",18883817,18883818,"DGCR6",0.36999168204359,0.11894908562797
"11","chr5",49441023,49441024,"EMB",-0.677761277500479,0.00142911655693103
"12","chr1",121352332,121352333,"EMBP1",-0.756108174488733,0.000180213162892288
"13","chr3",197895820,197895821,"FAM157A",0.227498237228091,0.348921338078493
"14","chr7",24405,24406,"FAM20C",-0.441164435306593,0.0586559849862127
"15","chr17",21904938,21904939,"FLJ36000",-0.769284149342281,0.000118040219855962
"16","chr4",190802545,190802546,"FRG1",-0.331712829330627,0.165320399746756
"17","chr20",29601184,29601185,"FRG1BP",-0.291602169375171,0.225773887443108
"18","chr9",68425383,68425384,"FRG1JP",-0.527892849870377,0.0201738757540005
"19","chr22",18718184,18718185,"GGT3P",-0.35443602074281,0.136513981907539
"20","chr6",58778606,58778607,"GUSBP4",-0.701429638897282,0.000818317560597633
"21","chrY",13708340,13708341,"GYG2P1",-0.618875426191598,0.00472676517009667
"22","chr19",24614322,24614323,"HAVCR1P1",-0.588404665180056,0.00804716531179387
"23","chr11",93969200,93969201,"IZUMO1R",-0.480335403264313,0.0373838107444429
"24","chr6",61914340,61914341,"KHDRBS2",-0.240715599605604,0.320846261340615
"25","chr16",33973744,33973745,"LINC00273",-0.571448748634892,0.0105909147775629
"26","chr8",46839991,46839992,"LINC00293",-0.834387643846204,8.94167758711792e-06
"27","chr19",27732222,27732223,"LINC00662",-0.735591613720236,0.000331583099649611
"28","chr10",38817216,38817217,"LINC00999",-0.437701286830654,0.0609019552297077
"29","chr5",17526731,17526732,"LINC02111",-0.541167607201568,0.0167217132440927
"30","chr16",33533733,33533734,"LOC390705",0.457536636015063,0.0488732096083589
"31","chr10",42529592,42529593,"LOC441666",-0.806221823159198,3.06839781115222e-05
"32","chr18",15169266,15169267,"LOC644669",-0.262955653188705,0.276741787222459
"33","chr7",56439401,56439402,"LOC650226",-0.592592651591311,0.0075023552733355
"34","chr2",91599342,91599343,"LSP1P4",-0.568716624612894,0.011055540928865
"35","chr21",9826010,9826011,"MIR3648-1",0.541610099112608,0.0166153324261777
"36","chr1",16893032,16893033,"MIR3675",-0.631724285220351,0.00371561306276098
"37","chr2",90371671,90371672,"MIR4436A",0.720538805679564,0.000501552617571217
"38","chr2",133006215,133006216,"MIR663B",0.401158248631488,0.0887074460591751
"39","chr1",2585200,2585201,"MMEL1",0.460634079392341,0.0471715847754416
"40","chr17",22254311,22254312,"MTRNR2L1",0.689262545479483,0.00109681742815431
"41","chr11",51580877,51580878,"OR4C46",-0.671850348043892,0.00163021715072405
"42","chr1",567239,567240,"OR4F29",0.547801125927911,0.0151826640264225
"43","chr8",43794070,43794071,"POTEA",-0.775724156720627,9.50320366699534e-05
"44","chr2",162138114,162138115,"PSMD14",-0.395113608627247,0.0940781057364539
"45","chr9",66470939,66470940,"PTGER4P2-CDK2AP2P2",0.574796992440587,0.0100431244538096
"46","chr8",86781931,86781932,"REXO1L1P",-0.723861455957019,0.000458799671342783
"47","chr8",86566009,86566010,"REXO1L2P",-0.695323036538503,0.000949552943691899
"48","chr18",18513063,18513064,"ROCK1",0.829880977320968,1.1052918396502e-05
"49","chr18",109284,109285,"ROCK1P1",-0.611618543604888,0.00539104027658926
"50","chr3",196625679,196625680,"SENP5",-0.450959658113669,0.0526410815076426
"51","chr16",32851308,32851309,"SLC6A10P",0.593381652704255,0.00740315482470341
"52","chrX",61714233,61714234,"SPIN4",-0.741952581751073,0.000276104586578595
"53","chr1",153115422,153115423,"SPRR2C",-0.498688383741756,0.0297527965608697
"54","chrY",58847419,58847420,"SPRY3",-0.679523447213235,0.00137334072517125
"55","chr5",110031616,110031617,"TMEM232",0.270395277485476,0.262872816255572
"56","chr21",10720576,10720577,"TPTE",-0.711214851242188,0.000639890158826673
"57","chr1",114850729,114850730,"TRIM33",0.537094328749034,0.0177266792033203
"58","chrY",10043077,10043078,"TTTY23",0.505551638284646,0.0272346024209974
"59","chrY",28816881,28816882,"TTTY3",-0.525487901282791,0.0208556149258658
"60","chr4",9270289,9270290,"USP17L20",-0.355919773002893,0.134764476899113
"61","chr4",9326195,9326196,"USP17L27",-0.450014273527388,0.0532002973188545
"62","chr19",44915644,44915645,"ZNF112",-0.269477573823185,0.264559578733971
"63","chr7",61967468,61967469,"ZNF733P",-0.83009162199672,1.09454399809755e-05
"64","chrX",58566717,58566718,"ZXDA",-0.55650320742933,0.0133375234967207
"65","chr21",9826255,9826256,NA,0.556456660030643,0.0133468905485447
