,Chr,Start,End
693530,chrX,134477433,134477434
3276799,chr7,1967946,1967947
449750,chrX,149737542,149737543
3382351,chrX,135579346,135579347
449211,chrX,54834901,54834902
3547423,chrX,153719354,153719355
3382355,chrX,135579365,135579366
3373370,chrX,47342296,47342297
2712243,chrX,135851021,135851022
3382353,chrX,135579352,135579353
319777,chrX,129116344,129116345
393474,chrX,134048891,134048892
2629377,chrX,14891495,14891496
393475,chrX,134048894,134048895
2670247,chr11,69818516,69818517
417643,chr17,71007139,71007140
3379940,chrX,118370525,118370526
449749,chrX,149737537,149737538
3276800,chr7,1967949,1967950
2716366,chr20,15918077,15918078
3376515,chrX,70474105,70474106
393208,chrX,49687485,49687486
393472,chrX,134048875,134048876
990846,chr12,71890987,71890988
3381388,chrX,129536117,129536118
393476,chrX,134048905,134048906
449961,chrX,153639840,153639841
626388,chrX,115004716,115004717
449748,chrX,149737533,149737534
2633439,chrX,48749055,48749056
3379938,chrX,118370506,118370507
481918,chr4,155812514,155812515
3276802,chr7,1967957,1967958
693750,chrX,153247499,153247500
449734,chrX,139015377,139015378
3379933,chrX,118370488,118370489
449373,chrX,80064979,80064980
3382354,chrX,135579355,135579356
2644163,chr10,31988775,31988776
626029,chrX,71792745,71792746
393209,chrX,49687490,49687491
3013579,chr18,77225803,77225804
3381066,chrX,129113846,129113847
2774789,chr1,244507275,244507276
3379932,chrX,118370481,118370482
3386362,chrX,153665834,153665835
3379937,chrX,118370503,118370504
449564,chrX,129087115,129087116
3379934,chrX,118370491,118370492
3379939,chrX,118370511,118370512
2642936,chrX,153718691,153718692
449216,chrX,56590185,56590186
2712518,chrX,153362607,153362608
3369610,chrX,21857734,21857735
450008,chrX,153775496,153775497
3370758,chrX,30907518,30907519
319150,chrX,41782267,41782268
449479,chrX,115004711,115004712
3379935,chrX,118370497,118370498
3379936,chrX,118370500,118370501
3546407,chrX,100306973,100306974
2642981,chrX,153744328,153744329
319725,chrX,118602316,118602317
393478,chrX,134048932,134048933
693807,chrY,13461928,13461929
3370757,chrX,30907515,30907516
2956854,chr16,87653051,87653052
449923,chrX,153599590,153599591
3013578,chr18,77225792,77225793
109285,chr16,4356802,4356803
449296,chrX,69353178,69353179
319361,chrX,57936138,57936139
393477,chrX,134048916,134048917
692928,chrX,47342324,47342325
2247831,chrX,48931449,48931450
3368415,chrX,14891515,14891516
319722,chrX,118602304,118602305
318876,chrX,20009263,20009264
2638071,chrX,118602278,118602279
3372206,chrX,40440533,40440534
3373035,chrX,46433585,46433586
449997,chrX,153718687,153718688
449356,chrX,77151023,77151024
449751,chrX,149737546,149737547
319442,chrX,69672572,69672573
393473,chrX,134048884,134048885
393534,chrX,149736933,149736934
449995,chrX,153718665,153718666
2711529,chrX,55744136,55744137
3370759,chrX,30907522,30907523
449355,chrX,75648668,75648669
393667,chrX,153607954,153607955
319738,chrX,122866917,122866918
1480521,chr20,50046108,50046109
3373031,chrX,46433561,46433562
2247823,chrX,48754635,48754636
427848,chr2,242964472,242964473
3377118,chrX,74376068,74376069
2677624,chr15,90918806,90918807
3378719,chrX,103411716,103411717
2634426,chrX,54666198,54666199
3375144,chrX,55187616,55187617
693752,chrX,153247505,153247506
3369611,chrX,21857737,21857738
319795,chrX,129194545,129194546
2957220,chr16,87873168,87873169
319793,chrX,129194531,129194532
393207,chrX,49687469,49687470
2711386,chrX,49012009,49012010
448845,chrX,38664127,38664128
2248071,chrX,103173608,103173609
3376516,chrX,70474108,70474109
3166677,chr3,14555928,14555929
320352,chrX,153718655,153718656
450406,chr1,1609077,1609078
449565,chrX,129087146,129087147
693751,chrX,153247502,153247503
319724,chrX,118602313,118602314
320311,chrX,153672702,153672703
2643135,chrX,153979067,153979068
2638995,chrX,129091345,129091346
449840,chrX,153060343,153060344
3381063,chrX,129113834,129113835
687613,chr5,171960202,171960203
2712032,chrX,118925816,118925817
478554,chr22,50058367,50058368
3381306,chrX,129300061,129300062
449919,chrX,153599563,153599564
319359,chrX,56590139,56590140
3373029,chrX,46433555,46433556
625824,chrX,63424762,63424763
449202,chrX,54209466,54209467
393160,chrX,48659972,48659973
3263463,chr6,125667924,125667925
320367,chrX,153775691,153775692
2413139,chr17,74524687,74524688
2229903,chr19,35822249,35822250
449943,chrX,153626287,153626288
625510,chrX,48595816,48595817
319363,chrX,57936149,57936150
319798,chrX,129194553,129194554
3381307,chrX,129300090,129300091
625535,chrX,48776072,48776073
393427,chrX,128788707,128788708
319391,chrX,64887745,64887746
1019565,chr12,132409693,132409694
393664,chrX,153607935,153607936
319390,chrX,64887739,64887740
2638263,chrX,118893079,118893080
2642967,chrX,153744123,153744124
3386572,chrX,153719328,153719329
692727,chrX,23761156,23761157
692965,chrX,48535266,48535267
3370755,chrX,30907508,30907509
343325,chr15,94404977,94404978
3013580,chr18,77225815,77225816
320406,chrX,154255446,154255447
3376518,chrX,70474131,70474132
1495709,chr21,11106968,11106969
626215,chrX,103173401,103173402
449107,chrX,48900511,48900512
626981,chrX,149531084,149531085
449659,chrX,134478428,134478429
449201,chrX,54209463,54209464
449945,chrX,153626318,153626319
327331,chr10,1531498,1531499
693537,chrX,135067941,135067942
3383599,chrX,149531713,149531714
627334,chrY,13489085,13489086
319834,chrX,131157594,131157595
393409,chrX,119695213,119695214
1831775,chr6,166955043,166955044
319011,chrX,24483046,24483047
319260,chrX,48814608,48814609
393663,chrX,153607932,153607933
320369,chrX,153775711,153775712
448676,chrX,12993857,12993858
449200,chrX,54209451,54209452
2261968,chr1,3342482,3342483
319195,chrX,46772833,46772834
2076496,chrX,109246492,109246493
449504,chrX,118708442,118708443
3372205,chrX,40440531,40440532
3281787,chr7,13194188,13194189
2942209,chr16,30762446,30762447
466067,chr17,10024585,10024586
1019567,chr12,132409735,132409736
2634910,chrX,64887690,64887691
3372203,chrX,40440523,40440524
661142,chr6,166955163,166955164
626449,chrX,118371165,118371166
449732,chrX,139015354,139015355
2934605,chr16,4356748,4356749
2078478,chrX,115004730,115004731
2247881,chrX,53710863,53710864
693749,chrX,153247458,153247459
449454,chrX,107334890,107334891
2984447,chr17,55628644,55628645
625422,chrX,46618184,46618185
2130016,chr1,76712921,76712922
2634428,chrX,54666221,54666222
393411,chrX,119695227,119695228
626216,chrX,103173418,103173419
450007,chrX,153775494,153775495
3381062,chrX,129113830,129113831
476518,chr21,37417575,37417576
453503,chr1,245728883,245728884
3369612,chrX,21857756,21857757
319799,chrX,129194557,129194558
448954,chrX,40440021,40440022
319389,chrX,64887729,64887730
449071,chrX,48334628,48334629
693048,chrX,55187470,55187471
2634425,chrX,54666175,54666176
319530,chrX,100075324,100075325
393660,chrX,153607909,153607910
3369926,chrX,23926273,23926274
2710832,chrX,18372115,18372116
1491492,chr21,9826881,9826882
449411,chrX,102470134,102470135
2028591,chr9,130865693,130865694
320316,chrX,153672748,153672749
393157,chrX,48659956,48659957
448721,chrX,16965064,16965065
354069,chr18,1126120,1126121
319197,chrX,46772842,46772843
319200,chrX,46772853,46772854
2171220,chr14,19533084,19533085
3369064,chrX,19002708,19002709
2634911,chrX,64887702,64887703
3427556,chr14,47641575,47641576
3369063,chrX,19002697,19002698
1220809,chr17,21530239,21530240
2232723,chr21,46677554,46677555
449658,chrX,134477906,134477907
449203,chrX,54209468,54209469
661141,chr6,166955155,166955156
2634323,chrX,54209251,54209252
625421,chrX,46618181,46618182
393159,chrX,48659965,48659966
468118,chr17,80873080,80873081
2216918,chr6,5782370,5782371
327332,chr10,1531529,1531530
2561875,chr6,8275707,8275708
2533756,chr4,6273444,6273445
626327,chrX,109246494,109246495
319014,chrX,24483077,24483078
625213,chrX,40035737,40035738
319797,chrX,129194551,129194552
2776771,chr10,1401891,1401892
319833,chrX,131157576,131157577
319196,chrX,46772839,46772840
1563230,chr3,46042243,46042244
393144,chrX,48432936,48432937
2634325,chrX,54209260,54209261
449205,chrX,54556648,54556649
319344,chrX,54522218,54522219
393461,chrX,133306857,133306858
319236,chrX,48554729,48554730
2632776,chrX,46618219,46618220
1692323,chr4,190941812,190941813
3375657,chrX,64254687,64254688
393661,chrX,153607913,153607914
2634912,chrX,64887719,64887720
693748,chrX,153247428,153247429
393156,chrX,48659951,48659952
2711532,chrX,55744171,55744172
1968150,chr8,128025442,128025443
2633972,chrX,51239413,51239414
3372187,chrX,40430394,40430395
3379039,chrX,106959898,106959899
393668,chrX,153627189,153627190
1491493,chr21,9826885,9826886
634506,chr11,75598275,75598276
2755200,chr1,110466319,110466320
630714,chr1,229265603,229265604
319531,chrX,100075328,100075329
2162527,chr9,139279789,139279790
1231841,chr17,41401052,41401053
693482,chrX,128911423,128911424
319784,chrX,129117480,129117481
450405,chr1,1609073,1609074
626213,chrX,103173397,103173398
2148978,chr20,22699929,22699930
3415418,chr11,133252510,133252511
3422199,chr12,132268188,132268189
319800,chrX,129194563,129194564
449897,chrX,153285934,153285935
320267,chrX,153362179,153362180
2177864,chr19,3925413,3925414
626822,chrX,136116496,136116497
3439939,chr16,28913647,28913648
625216,chrX,40035755,40035756
448719,chrX,16965058,16965059
386723,chr8,2037968,2037969
693538,chrX,135067944,135067945
318802,chrX,18372930,18372931
320366,chrX,153775683,153775684
2252644,chr12,4532739,4532740
3079893,chr2,74783546,74783547
449398,chrX,100075293,100075294
331393,chr11,7678129,7678130
2637113,chrX,103411735,103411736
3306534,chr7,155289911,155289912
319796,chrX,129194547,129194548
448678,chrX,12993877,12993878
318898,chrX,21392230,21392231
3145760,chr22,25167957,25167958
340746,chr14,100039424,100039425
2711530,chrX,55744150,55744151
2285581,chr1,208391282,208391283
320368,chrX,153775693,153775694
2184292,chr22,46610304,46610305
319201,chrX,46772858,46772859
319297,chrX,49056839,49056840
640646,chr16,2743059,2743060
901866,chr11,17018132,17018133
393145,chrX,48456564,48456565
386722,chr8,2037954,2037955
58885,chr11,111250129,111250130
625215,chrX,40035752,40035753
401544,chr11,2550080,2550081
1242517,chr17,64436733,64436734
2641710,chrX,152928132,152928133
393666,chrX,153607942,153607943
469261,chr19,863244,863245
