,Chr,Start,End
393478,chrX,134048932,134048933
3381062,chrX,129113830,129113831
390100,chr9,91994457,91994458
692965,chrX,48535266,48535267
2696987,chr3,192623374,192623375
393156,chrX,48659951,48659952
393157,chrX,48659956,48659957
393158,chrX,48659962,48659963
393160,chrX,48659972,48659973
393461,chrX,133306857,133306858
393477,chrX,134048916,134048917
3369548,chrX,21392547,21392548
693048,chrX,55187470,55187471
2637319,chrX,107068962,107068963
2634832,chrX,64627646,64627647
693337,chrX,107976209,107976210
693339,chrX,107976221,107976222
3252643,chr6,34069709,34069710
3375657,chrX,64254687,64254688
52731,chr11,63531191,63531192
2508554,chr22,42606257,42606258
2497607,chr21,44143449,44143450
441307,chr7,2958126,2958127
2487670,chr20,35585989,35585990
448727,chrX,17756762,17756763
449355,chrX,75648668,75648669
449411,chrX,102470134,102470135
47542,chr11,6651257,6651258
2450638,chr19,43965675,43965676
449564,chrX,129087115,129087116
449565,chrX,129087146,129087147
388029,chr8,124197463,124197464
377716,chr5,1246384,1246385
2729591,chr1,6562831,6562832
2900766,chr14,103214191,103214192
3166424,chr3,13837549,13837550
3116429,chr20,34979348,34979349
3055580,chr19,47969102,47969103
678865,chr19,1336246,1336247
283164,chr7,101961769,101961770
3012840,chr18,76709468,76709469
3276797,chr7,1967834,1967835
301218,chr8,140718876,140718877
2972727,chr17,20516997,20516998
312960,chr9,127268040,127268041
2951187,chr16,73750598,73750599
2936363,chr16,9324066,9324067
319346,chrX,54522232,54522233
2881193,chr13,111519985,111519986
77182,chr13,21676139,21676140
323428,chr1,26589931,26589932
326073,chr1,178475530,178475531
326098,chr1,180182696,180182697
340746,chr14,100039424,100039425
2840419,chr11,130608164,130608165
346593,chr16,58061456,58061457
346873,chr16,68394977,68394978
352280,chr17,73732681,73732682
352836,chr17,78041423,78041424
365120,chr2,237828432,237828433
366528,chr20,35169981,35169982
84277,chr14,20684591,20684592
367069,chr20,49308028,49308029
449626,chrX,132548736,132548737
431401,chr22,38478012,38478013
2449116,chr19,39589195,39589196
693538,chrX,135067944,135067945
473946,chr2,178627808,178627809
474917,chr20,555354,555355
475622,chr20,49006857,49006858
477274,chr22,18413749,18413750
478553,chr22,50058357,50058358
478554,chr22,50058367,50058368
2253089,chr14,78560056,78560057
486312,chr7,6159752,6159753
2245496,chr4,2746501,2746502
487743,chr7,155191166,155191167
2442485,chr19,15538966,15538967
2222205,chr10,118392544,118392545
693537,chrX,135067941,135067942
2195955,chr10,134176350,134176351
2266958,chr1,18090668,18090669
564618,chr2,28469983,28469984
3543489,chr9,138553816,138553817
10860,chr1,38510708,38510709
624777,chrX,38079717,38079718
624932,chrX,39951317,39951318
625213,chrX,40035737,40035738
625421,chrX,46618181,46618182
9688,chr1,33720973,33720974
625422,chrX,46618184,46618185
626193,chrX,102001536,102001537
626981,chrX,149531084,149531085
627251,chrX,153672826,153672827
1167282,chr16,32300792,32300793
473944,chr2,178627794,178627795
3187718,chr3,182496908,182496909
3407298,chr10,134890598,134890599
450008,chrX,153775496,153775497
449919,chrX,153599563,153599564
449923,chrX,153599590,153599591
2425164,chr18,74499527,74499528
449943,chrX,153626287,153626288
2304112,chr10,130279644,130279645
2310271,chr11,2389844,2389845
449945,chrX,153626318,153626319
450007,chrX,153775494,153775495
2425169,chr18,74499584,74499585
466924,chr17,54989955,54989956
466923,chr17,54989946,54989947
2806604,chr11,410232,410233
347559,chr16,86549357,86549358
2189734,chr6,108196757,108196758
2287395,chr1,228254934,228254935
2138047,chr15,86328514,86328515
2489506,chr20,47445579,47445580
2889406,chr14,55441315,55441316
3000512,chr17,80668678,80668679
3011802,chr18,74499714,74499715
436856,chr5,1246054,1246055
329884,chr10,131989080,131989081
375500,chr4,2366963,2366964
466348,chr17,28292080,28292081
2735622,chr1,18023930,18023931
2425168,chr18,74499573,74499574
3439359,chr16,19126385,19126386
2630036,chrX,19399621,19399622
474919,chr20,555374,555375
400418,chr10,108371639,108371640
625215,chrX,40035752,40035753
393159,chrX,48659965,48659966
2425172,chr18,74499615,74499616
449205,chrX,54556648,54556649
323790,chr1,33358791,33358792
2863693,chr12,123466822,123466823
2159764,chr8,143703475,143703476
367616,chr20,61371472,61371473
2159766,chr8,143703507,143703508
373912,chr3,128209530,128209531
330899,chr11,1051005,1051006
181986,chr2,177052519,177052520
2133069,chr11,8378796,8378797
3377011,chrX,73639817,73639818
471383,chr19,42007360,42007361
