,Chr,Start,End,Pearson Correlation,Pearson P-value,Spearman Correlation,Spearman P-value,Kendall Correlation,Kendall P-value
0,chr1,121484682,121484683,0.002385600252973098,0.9698810748584343,0.00762206757253173,0.9039779288156384,0.01093343799874316,0.7986323316360551
1,chr1,121484720,121484721,-0.1408563642837248,0.025055561198610375,-0.038590698645820265,0.5411925248386102,-0.02645612807353996,0.5388463880745902
2,chr1,121484801,121484802,0.15644695552608623,0.01272125004883455,0.12826347517595135,0.0415019473714788,0.0940850101522167,0.027915851835376836
3,chr1,121484901,121484902,-0.17045840550935878,0.006571769123995231,-0.03313624021324843,0.5998625041605007,-0.011701159430016341,0.7854101645436598
4,chr1,121485000,121485001,0.29254711897827207,2.1994021387979342e-06,0.3176081432076287,2.4550026283558135e-07,0.2215104316124268,3.1072533882384966e-07
5,chr1,121485059,121485060,-0.1322768960558237,0.03548126962544493,-0.05033184508374471,0.4253825416999272,-0.029714542517717397,0.4899417135429659
6,chr10,42385523,42385524,-0.22916397037243436,0.00023685828706073917,-0.36544046161946425,2.0671153106387482e-09,-0.24133438508241375,1.9716482088813113e-08
7,chr10,42385679,42385680,-0.03753759571867938,0.5522948705101,0.04818750411115672,0.4453935787473674,0.027186105255175712,0.5271543816937
8,chr10,42387234,42387235,-0.029413975983704693,0.6414718617833128,0.016446707917468443,0.7946145778229331,0.00588781378750361,0.8911097197014908
9,chr10,42387260,42387261,-0.3047106735323842,7.783739082008076e-07,-0.4329456268976683,5.556704844797622e-13,-0.2966534165376012,4.900350439157207e-12
10,chr10,42387276,42387277,0.17344061171903333,0.005673547258983004,-0.09932866867812352,0.11502689505630037,-0.06269419165006176,0.15274571993628175
11,chr10,42391650,42391651,0.04370976134788945,0.48885296329760186,-0.02778070847543862,0.6600993969149523,-0.017730430797741302,0.6786808277236018
12,chr10,42391653,42391654,-0.19268799881891874,0.002079655785361628,-0.043235930815622214,0.4935810404428209,-0.024648224302298547,0.5676583529295756
13,chr10,42391679,42391680,-0.29774263283432634,1.4194967918999332e-06,-0.3908901253869409,1.1564290034274606e-10,-0.2592378820616087,1.5546266567644014e-09
14,chr10,42391715,42391716,0.32867226678088834,8.728986584551477e-08,0.385446349196294,2.1884298984682243e-10,0.26149959131115125,1.1427156151405665e-09
15,chr10,42391741,42391742,-0.2841401891803838,4.38709105891991e-06,-0.3742873108066902,7.803446387008888e-10,-0.25543310811455994,2.5898638097451914e-09
16,chr10,42391757,42391758,0.3286337776718374,8.761073676859113e-08,0.41525475570962406,5.748294908009048e-12,0.2760042578803587,1.2768846224794486e-10
